artist,album,release_date,ratings
Yung Lean,Unknown Memory,24/09/2014,3.6
"Bonnie ""Prince"" Billy",Singer's Grave a Sea of Tongues,24/09/2014,6.9
Leonard Cohen,Popular Problems,24/09/2014,7.6
Mary Lattimore,Slant of Light,23/09/2014,7.5
GOAT,Commune,23/09/2014,7.3
Suicideyear,Remembrance EP,23/09/2014,7.3
alt-J,This Is All Yours,23/09/2014,4
Perfume Genius,Too Bright,23/09/2014,8.5
Salt Cathedral,Oom Velt EP,22/09/2014,6.9
Whirr,Sway,22/09/2014,6.9
King Tuff,Black Moon Spell,22/09/2014,6.4
Various Artist,Hyperdub 10.3,22/09/2014,6.5
Aphex Twin,Syro,22/09/2014,8.7
Dan'l Boone,Dan'l Boone,19/09/2014,7.6
Foxes in Fiction,Ontario Gothic,19/09/2014,6.3
Myrkur,Myrkur,19/09/2014,5.9
Youth Code,A Place to Stand EP,19/09/2014,6.8
Shellac,Dude Incredible,19/09/2014,8
Mecca Normal,Empathy for the Evil,18/09/2014,6.7
Los Angeles Police Department,Los Angeles Police Department,18/09/2014,7.5
So Cow,The Long Con,18/09/2014,6.9
This Will Destroy You,Another Language,18/09/2014,7.2
Purling Hiss,Weirdon,18/09/2014,7.5
Ides of Gemini,Old World New Wave,17/09/2014,6
Matthew Shipp,I've Been to Many Places,17/09/2014,7.8
Anjou,Anjou,17/09/2014,6.8
Call Super,Suzi Ecto,17/09/2014,7.7
Tweedy,Sukierae,17/09/2014,7.3
Iron Reagan,The Tyranny of Will,16/09/2014,6.2
Various Artist,Vibe 2,16/09/2014,7.8
Royal Blood,Royal Blood,16/09/2014,5.6
Moonface,City Wrecker EP,16/09/2014,6.8
Mr Twin Sister,Mr Twin Sister,16/09/2014,8.1
Hamish Kilgour,All of It and Nothing,15/09/2014,6.4
Shintaro Sakamoto,Let's Dance Raw,15/09/2014,7.1
Vessel,"Punish, Honey",15/09/2014,7.3
My Brightest Diamond,This Is My Hand,15/09/2014,7
Ryan Adams,Ryan Adams,15/09/2014,6
Krieg,Transient,12/09/2014,8
The Ukiah Drag,In the Reaper's Quarters,12/09/2014,7.2
Jhene Aiko,Souled Out,12/09/2014,6.5
Simian Mobile Disco,Whorl,12/09/2014,6.5
U2,Songs of Innocence,12/09/2014,4.6
Jo Johnson,Weaving,11/09/2014,7.7
Lee Gamble,KOCH,11/09/2014,7.2
Ballet School,The Dew Lasts an Hour,11/09/2014,6.2
Tennis,Ritual in Repeat,11/09/2014,7
Death From Above 1979,The Physical World,11/09/2014,7
Various Artist,Tliltic Tlapoyauak,10/09/2014,6.6
Wara From the NBHD,Kidnapped,10/09/2014,7.7
Sloan,Commonwealth,10/09/2014,6.9
Avi Buffalo,At Best Cuckold,10/09/2014,7.2
Karen O,Crush Songs,10/09/2014,5.8
Aby Ngana Diop,Liital,09/09/2014,8
Tricky,Adrian Thaws,09/09/2014,4.8
Robert Plant,lullaby and... The Ceaseless Roar,09/09/2014,7
Hiss Golden Messenger,Lateness of Dancers,09/09/2014,7.6
Banks,Goddess,09/09/2014,5
SHXCXCHCXSH,Linear S Decoded,08/09/2014,7.3
Mazes,Wooden Aquarium,08/09/2014,6.7
Jennifer Castle,Pink City,08/09/2014,7.9
Ital,Endgame,08/09/2014,6.5
Interpol,El Pintor,08/09/2014,5.9
Roman Flugel,Happiness Is Happening,05/09/2014,8.1
Zammuto,Anchor,05/09/2014,5.1
Mutual Benefit,Cowboy's Prayer EP,05/09/2014,6.3
Jeezy,Seen It All: The Autobiography,05/09/2014,6
Earth,Primitive and Deadly,05/09/2014,7
Game Theory,Blaze of Glory,04/09/2014,7.2
Sinkane,Mean Love,04/09/2014,7.2
YOB,Clearing the Path to Ascend,04/09/2014,8.2
iLoveMakonnen,iLoveMakonnen EP,04/09/2014,8
M83,M83,04/09/2014,6.5
Moon Duo,Live in Ravenna,03/09/2014,7.4
Helado Negro,Double Youth,03/09/2014,7.5
Sinoia Caves,Beyond the Black Rainbow OST,03/09/2014,8.1
Raury,Indigo Child,03/09/2014,6.5
Blonde Redhead,Barragan,03/09/2014,4.3
Mono/Poly,Golden Skies,02/09/2014,7.3
Music Blues,Things Haven't Gone Well,02/09/2014,6
Half Japanese,Overjoyed,02/09/2014,6.8
Cassie Ramone,The Time Has Come,02/09/2014,6.7
The Juan MacLean,In A Dream,02/09/2014,7.4
Wiz Khalifa,Blacc Hollywood,29/08/2014,5.6
DJ Mustard,10 Summers,29/08/2014,7.7
Mick Jenkins,The Water[s],29/08/2014,7.8
Cymbals Eat Guitars,LOSE,29/08/2014,8.2
Ariana Grande,My Everything,29/08/2014,7.7
Twerps,Underlay EP,28/08/2014,7.4
Bitchin Bajas,Bitchin Bajas,28/08/2014,7.5
Opeth,Pale Communion,28/08/2014,4.3
J Mascis,Tied to a Star,28/08/2014,6.4
Merchandise,After the End,28/08/2014,7
Il Sogno del Marinaio,Canto Secondo,27/08/2014,6.5
Dark Sky,Imagin,27/08/2014,5.9
The Wytches,Annabel Dream Reader,27/08/2014,5.8
Basement Jaxx,Junto,27/08/2014,6.5
Rustie,Green Language,27/08/2014,7.2
Marcel Dettmann,Fabric 77,26/08/2014,7.1
Robyn Hitchcock,The Man Upstairs,26/08/2014,6.3
Cold Specks,Neuroplasticity,26/08/2014,7.4
The Bug,Angels & Devils,26/08/2014,6.7
Ty Segall,Manipulator,26/08/2014,7.8
Alraune,The Process of Self-Immolation,25/08/2014,7.5
Wand,Ganglion Reef,25/08/2014,7.4
Connections,Into Sixes,25/08/2014,6.8
Jason Feathers,De Oro,25/08/2014,3.5
The New Pornographers,Brill Bruisers,25/08/2014,7.7
Castanets,Decimation Blues,15/08/2014,5.9
Literature,Chorus,15/08/2014,7.1
The Young,Chrome Cactus,15/08/2014,3.5
Susanna,Meshes of Voice,15/08/2014,8.2
JJ,V,15/08/2014,6.7
Black Rain,Dark Pool,14/08/2014,7.5
Kimbra,The Golden Echo,14/08/2014,4.3
Wire,Document and Eyewitness,14/08/2014,6
Willis Earl Beal,Experiments in Time,14/08/2014,5
Sinead O'Connor,"I'm Not Bossy, I'm the Boss",14/08/2014,7.3
Tashi Dorji,Tashi Dorji,13/08/2014,7.1
Fat White Family,Champagne Holocaust,13/08/2014,6.6
Coachwhips,Get Yer Body Next Ta Mine,13/08/2014,8
The Gaslight Anthem,Get Hurt,13/08/2014,3
The Rentals,Lost in Alphaville,13/08/2014,6.9
Mirel Wagner,When the Cellar Children See the Light of Day,12/08/2014,7.2
B L A C K I E,Imagine Yourself in a Free and Natural World,12/08/2014,7.3
Childhood,Lacuna,12/08/2014,6.1
FaltyDL,In The Wild,12/08/2014,7
Pallbearer,Foundations of Burden,12/08/2014,8.6
Zeitkratzer,Metal Machine Music,11/08/2014,7.6
Operators,EP1,11/08/2014,6.8
Moire,Shelter,11/08/2014,7.6
Porter Robinson,Worlds,11/08/2014,6.9
FKA twigs,LP1,11/08/2014,8.8
Coliseum,Coliseum,08/08/2014,7.8
Lil Silva,Mabel EP,08/08/2014,5.1
PARTYNEXTDOOR,PARTYNEXTDOOR TWO,08/08/2014,6.8
Electric Wurms,"Musik, die Schwer zu Twerk",08/08/2014,6.5
Kenny Dope,Wild Style Breakbeats,08/08/2014,8.4
Martyrdod,Elddop,07/08/2014,7.8
Desertshore,Migrations of Glass,07/08/2014,7.2
King Louie,Tony,07/08/2014,7.9
Mozart's Sister,Being,07/08/2014,6.4
Nachtmystium,The World We Left Behind,07/08/2014,3.9
Abysmal Lord,Storms of Unholy Black Mass,06/08/2014,6
Adult Jazz,Gist Is,06/08/2014,7.4
Twin Peaks,Wild Onion,06/08/2014,6.9
The Rosebuds,Sand + Silence,06/08/2014,5.1
Naomi Punk,Television Man,06/08/2014,7.9
DAMA/LIBRA,Claw,05/08/2014,7.1
Hideki Kaji,Ice Cream Man,05/08/2014,6.5
The #1s,The Number Ones,05/08/2014,7.9
Spider Bags,Frozen Letter,05/08/2014,6.2
Bear in Heaven,Time Is Over One Day Old,05/08/2014,5.9
Various Artist,Music From The Mountain Provinces,04/08/2014,7.1
Apache Dropout,Heavy Window,04/08/2014,7.2
Geoffrey O'Connor,Fan Fiction,04/08/2014,7.4
David Kilgour and the Heavy Eights,End Times Undone,04/08/2014,6.9
Spoon,They Want My Soul,04/08/2014,8.6
Various Artist,Late Night Tales Presents After Dark: Nightshift,01/08/2014,7.4
Stardeath and White Dwarfs,Wastoid,01/08/2014,5.7
Dikembe,Mediumship,01/08/2014,6.6
Wolfgang Voigt,Ruckverzauberung 9 / Musik Fur Kulturinstitutionen,01/08/2014,7.8
Lewis,Romantic Times,01/08/2014,8.1
Novembers Doom,Bled White,31/07/2014,6.8
Lawrence English,Wilderness of Mirrors,31/07/2014,7.5
Puce Mary,Persona,31/07/2014,6.7
Hanssen,Seven Years Week,31/07/2014,7
Jenny Lewis,The Voyager,31/07/2014,7.2
Zackey Force Funk,Money Green Viper,30/07/2014,6.6
Actual Water,Call 4 Fun,30/07/2014,7.4
Default Genders,Magical Pessimism 2014,30/07/2014,5.6
The Raveonettes,Pe'ahi,30/07/2014,6.3
Various Artist,Beck Song Reader,30/07/2014,4.5
Mutilation Rites,Harbinger,29/07/2014,7.5
Jim-E Stack,Tell Me I Belong,29/07/2014,6.5
Naomi Shelton & The Gospel Queens,Cold World,29/07/2014,7.3
11:11,11 11,29/07/2014,4.9
The Unicorns,Who Will Cut Our Hair When We're Gone?,29/07/2014,8.9
Gene the Southern Child,Southern Meridian,28/07/2014,7
UltraMantis Black,UltraMantis Black,28/07/2014,7.4
The Muffs,Whoop Dee Doo,28/07/2014,7.5
Hooray For Earth,Racy,28/07/2014,6.4
Shabazz Palaces,Lese Majesty,28/07/2014,8.2
Drcarlsonalbion,Gold,25/07/2014,7.2
The Acid,Liminal,25/07/2014,6.7
The Black Angels,Clear Lake Forest,25/07/2014,6.6
Common,Nobody's Smiling,25/07/2014,7.7
Jeremih,No More EP,25/07/2014,6.1
Daniel Bachman,Orange Co. Serenade,24/07/2014,6.8
Melted Toys,Melted Toys,24/07/2014,6.3
White Fence,For the Recently Found Innocent,24/07/2014,7
Tessela,Rough 2 EP,24/07/2014,6.8
Various Artist,Country Funk Volume II 1967-1974,24/07/2014,7.6
Luluc,Passerby,23/07/2014,4.9
Landlady,Upright Behavior,23/07/2014,7.4
FREEMAN,FREEMAN,23/07/2014,6.5
The Amazing Snakeheads,Amphetamine Ballads,23/07/2014,6.4
La Roux,Trouble in Paradise,23/07/2014,6.5
Goatwhore,Constricting Rage of the Merciless,22/07/2014,7
James Blackshaw,Fantomas: Le Faux Magistrat,22/07/2014,6.6
Anna Calvi,Strange Weather EP,22/07/2014,6.3
PS I Love You,For Those Who Stay,22/07/2014,6.3
Various Artist,Wish I Was Here (Music From the Motion Picture),22/07/2014,2
Trepaneringsritualen,Perfection & Permanence,21/07/2014,6.6
Liam Betson,The Cover of Hunter,21/07/2014,7.3
Alvvays,Alvvays,21/07/2014,7.6
Various Artist,Hyperdub 10.2,21/07/2014,6.7
Joyce Manor,Never Hungover Again,21/07/2014,7.8
Wreck and Reference,Want,17/07/2014,7.7
Mr. Dream,Ultimate in Luxury,17/07/2014,6.1
Honeyblood,Honeyblood,17/07/2014,6.8
Anand Wilder,Break Line the Musical,17/07/2014,3.8
AraabMuzik,For Professional Use Only 2,17/07/2014,6.4
BeatKing,Gangsta Stripper Music 2,16/07/2014,7.5
United Waters,Sunburner,16/07/2014,7.7
Rioux,Here Comes Now,16/07/2014,7.2
Seven Davis Jr.,Friends EP,16/07/2014,7.9
Cocteau Twins,Blue Bell Knoll,16/07/2014,8.3
Peter Murphy,Lion,15/07/2014,7.5
Sons of Magdalene,Move to Pain,15/07/2014,6
Woman's Hour,Conversations,15/07/2014,6.3
DJ Dodger Stadium,Friend of Mine,15/07/2014,8
United Nations,The Next Four Years,15/07/2014,8.1
Reigning Sound,Shattered,14/07/2014,7.7
Matthewdavid,In My World,14/07/2014,5.4
Slow Club,Complete Surrender,14/07/2014,7.6
Jungle,Jungle,14/07/2014,6.2
Morrissey,World Peace Is None of Your Business,14/07/2014,5.9
Steve Gunn,Cantos de Lisboa,11/07/2014,7.2
Tonstartssbandht,Overseas,11/07/2014,8
Matt Kivel,Days of Being Wild,11/07/2014,7.6
MellowHype,INSA,11/07/2014,6.6
The-Dream,Royalty: The Prequel EP,11/07/2014,7.1
Late Bloomer,Things Change,10/07/2014,7
Spazzkid,Promise EP,10/07/2014,7.4
Cold Beat,Over Me,10/07/2014,7.6
G-Eazy,These Things Happen,10/07/2014,6.1
Wolves in the Throne Room,Celestite,10/07/2014,4.7
Will Saul,DJ-Kicks,09/07/2014,6.1
SIGHS,Easy to Forget EP,09/07/2014,7
Black Anvil,Hail Death,09/07/2014,7.5
Babe Rainbow,Falling Apart,09/07/2014,6.5
Herbert,Part 6 EP,09/07/2014,6.7
Various Artist,Calypso: Musical Poetry in the Caribbean 1955-69,08/07/2014,6.3
The Skygreen Leopards,Family Crimes,08/07/2014,7.2
The Proper Ornaments,Wooden Head,08/07/2014,7
Kyary Pamyu Pamyu,Pika Pika Fantajin,08/07/2014,6.7
Braid,No Coast,08/07/2014,7.7
NONONO,We Are Only What We Feel,07/07/2014,5.8
What Moon Things,What Moon Things,07/07/2014,7.3
Fhloston Paradigm,The Phoenix,07/07/2014,6.7
Kasai Allstars,Beware the Fetish,07/07/2014,7.2
Viet Cong,"""Cassette"" EP",07/07/2014,7.8
Serpentine Path,Emanations,02/07/2014,7.7
The Vacant Lots,Departure,02/07/2014,5.2
Various Artist,Brothers & Sisters,02/07/2014,7.9
Godflesh,Decline and Fall EP,02/07/2014,7.9
Brian Eno,High Life,02/07/2014,8.5
Motion Sickness of Time Travel,Alpha Piscium,01/07/2014,7.8
OOIOO,Gamel,01/07/2014,7.2
Luke Abbott,Wysing Forest,01/07/2014,6.7
Beverly,Careers,01/07/2014,6.4
Mark Kozelek,Live at Biko,01/07/2014,7.8
Dalhous,Will To Be Well,30/06/2014,7.5
Eaters,Eaters,30/06/2014,6.4
Cabaret Voltaire,#7885 (Electropunk to Technopop 1978-1985),30/06/2014,7.8
Plastikman,EX,30/06/2014,6.5
Caustic Window,Caustic Window LP,30/06/2014,8.1
Old 97's,Most Messed Up,27/06/2014,6.4
Trap Them,Blissfucker,27/06/2014,7.3
Mike Cooper,Trout Steel,27/06/2014,8.6
Circulatory System,Mosaics Within Mosaics,27/06/2014,7.9
RiFF RAFF,NEON iCON,27/06/2014,5.4
Ulises Conti,The Greeks Believed That the Stars Were Small Holes Where the Gods Listened to Men,26/06/2014,7.5
White Reaper,White Reaper EP,26/06/2014,6.6
Craig Leon,Anthology of Interplanetary Folk Music Vol. 1: Nommos/Visiting,26/06/2014,8.4
Total Control,Typical System,26/06/2014,8
Ab-Soul,These Days...,26/06/2014,7.7
Eyehategod,Eyehategod,25/06/2014,8
Peter Matthew Bauer,Liberation!,25/06/2014,7.2
Alexis Taylor,Await Barbarians,25/06/2014,5.9
Black Bananas,Electric Brick Wall,25/06/2014,7.7
Mastodon,Once More 'Round the Sun,25/06/2014,6.3
Harassor,Into Unknown Depths,24/06/2014,7.4
Jobriath,As the River Flows,24/06/2014,7.5
M. Geddes Gengras,Ishi,24/06/2014,7.6
Strand of Oaks,HEAL,24/06/2014,7.9
A Sunny Day in Glasgow,Sea When Absent,24/06/2014,8.5
Matteah Baim,Falling Theater,23/06/2014,7.6
Dan Melchior Und Das Menace,Hunger,23/06/2014,6.9
Various Artist,Horse Meat Disco Volume IV,23/06/2014,7.7
Lower,Seek Warmer Climes,23/06/2014,6.9
How to Dress Well,"""What Is This Heart?""",23/06/2014,8.8
Dead Congregation,Promulgation of the Fall,20/06/2014,7.9
Willie Nelson,Band of Brothers,20/06/2014,7.4
Open Mike Eagle,Dark Comedy,20/06/2014,8
The Soft Pink Truth,Why Do the Heathen Rage?,20/06/2014,8.2
The Knife,Shaken-Up Versions,20/06/2014,7.3
Nightfell,The Living Ever Mourn,19/06/2014,7.5
Brian Reitzell,Auto Music,19/06/2014,6.5
Richard Reed Parry,Music for Heart and Breath,19/06/2014,8
Sam Smith,In the Lonely Hour,19/06/2014,5.5
Lone,Reality Testing,19/06/2014,8
Alex G,DSU,18/06/2014,7.9
Big Freedia,Just Be Free,18/06/2014,7.8
Devonte Hynes,Palo Alto: Original Motion Picture Score,18/06/2014,5.5
Mogwai,Come On Die Young,18/06/2014,8.3
The Antlers,Familiars,18/06/2014,7.8
Donnie & Joe Emerson,Still Dreamin' Wild: the Lost Recordings 1979-81,17/06/2014,6.3
The Felice Brothers,Favorite Waitress,17/06/2014,5.6
Various Artist,Eccentric Soul: Capitol City Soul,17/06/2014,7.7
Boris,Noise,17/06/2014,7.8
White Lung,Deep Fantasy,17/06/2014,8.6
YAITW,When Life Comes to Death,16/06/2014,5.5
Martyn,The Air Between Words,16/06/2014,6.6
Klaxons,Love Frequency,16/06/2014,5.1
Mariah Carey,Me. I Am Mariah...the Elusive Chanteuse,16/06/2014,7.7
Lana Del Rey,Ultraviolence,16/06/2014,7.1
Crowbar,Symmetry in Black,13/06/2014,7.3
Kyle Bobby Dunn,Kyle Bobby Dunn & the Infinite Sadness,13/06/2014,7.8
clipping.,CLPPNG,13/06/2014,5.6
Julianna Barwick,Rosabi EP,13/06/2014,7.6
Death Grips,Niggas on the Moon,13/06/2014,6.7
Stick Against Stone,The Oregon Bootleg Tapes,12/06/2014,7.3
Enabler,La Fin Absolue Du Monde,12/06/2014,7
Chris Schlarb,Making the Saint,12/06/2014,6.3
First Aid Kit,Stay Gold,12/06/2014,7.3
Led Zeppelin,Led Zeppelin,12/06/2014,9.2
Alice Boman,EP II (+ Skisser),11/06/2014,5.7
WIFE,What's Between,11/06/2014,6
The Atlas Moth,The Old Believer,11/06/2014,6.7
Tomas Barfod,Love Me,11/06/2014,7.1
The Fresh & Onlys,House of Spirits,11/06/2014,7
Craft Spells,Nausea,10/06/2014,5.8
Dub Thompson,9 Songs,10/06/2014,6.7
Chrissie Hynde,Stockholm,10/06/2014,5.8
Popcaan,Where We Come From,10/06/2014,8
Various Artist,C86,10/06/2014,9.2
Watter,This World,09/06/2014,7
Lust for Youth,International,09/06/2014,6.7
Tombs,Savage Gold,09/06/2014,8.3
Shamir,Northtown EP,09/06/2014,7.3
Jack White,Lazaretto,09/06/2014,7.1
Mayhem,Esoteric Warfare,06/06/2014,7.6
Sebastien Tellier,L'Aventura,06/06/2014,7.4
Priests,Bodies and Control and Money and Power,06/06/2014,7.3
Hamilton Leithauser,Black Hours,06/06/2014,7.4
50 Cent,Animal Ambition,06/06/2014,4.9
Lee Bains III & the Glory Fires,Dereconstructed,05/06/2014,4.5
Well$,MTYSD: The Revenge of the African Booty Scratcher,05/06/2014,6.5
OBN IIIs,Third Time to Harm,05/06/2014,7
Taylor McFerrin,Early Riser,05/06/2014,6.8
Morrissey,Vauxhall and I,05/06/2014,7.8
David Lang,Love Fail,04/06/2014,7.8
Tom Carter,Four Infernal Rivers,04/06/2014,8
"Buzz ""King Buzzo"" Osborne",This Machine Kills Artists,04/06/2014,6.4
Gold-Bears,Dalliance,04/06/2014,7.7
Parquet Courts,Sunbathing Animal,04/06/2014,8.6
Lee Fields & the Expressions,Emma Jean,03/06/2014,7.5
Ned Doheny,Separate Oceans,03/06/2014,7.9
Tigers Jaw,Charmer,03/06/2014,7.1
Clap Your Hands Say Yeah,Only Run,03/06/2014,5.8
Soundgarden,Superunknown,03/06/2014,8.5
Copeland,Because I'm Worth It,02/06/2014,7.1
DJ Sprinkles,Midtown 120 Blues,02/06/2014,8.5
Bob Mould,Beauty & Ruin,02/06/2014,7.3
The Orwells,Disgraceland,02/06/2014,6.2
Fucked Up,Glass Boys,02/06/2014,7
Officer!,Dead Unique,30/05/2014,8
Various Artist,Strange Breaks & Mr. Thing III,30/05/2014,7.8
Hercules and Love Affair,The Feast of the Broken Heart,30/05/2014,7.6
Trash Talk,No Peace,30/05/2014,7.7
Ben Frost,A U R O R A,30/05/2014,8.5
Leslie Winer,Witch,29/05/2014,7.6
G-Side,Gz II Godz,29/05/2014,7.2
Napolian,Incursio,29/05/2014,7.3
Son Lux,Alternate Worlds EP,29/05/2014,6.5
Hundred Waters,The Moon Rang Like A Bell,29/05/2014,8.3
K. Leimer,A Period of Review (Original Recordings: 1975-1983),28/05/2014,8.2
Popstrangers,Fortuna,28/05/2014,6.9
Haunted Hearts,Initiation,28/05/2014,6.4
Sylvan Esso,Sylvan Esso,28/05/2014,6.2
Royksopp,Do It Again,28/05/2014,7.7
Various Artist,"Wheedle's Groove: Seattle Funk, Soul & Modern Boogie: Volume II 1972-1987",27/05/2014,8.1
Oren Ambarchi,Shade Themes From Kairos,27/05/2014,7.4
Echo and the Bunnymen,Meteorites,27/05/2014,6
The Clientele,Suburban Light,27/05/2014,9.1
Sharon Van Etten,Are We There,27/05/2014,8.2
Lantlos,Melting Sun,26/05/2014,8
Various Artist,10 Years Of Full Pupp,26/05/2014,7.6
Future Death,Special Victim,26/05/2014,7
Blu,Good to Be Home,26/05/2014,6.5
Owen Pallett,In Conflict,26/05/2014,8
Plaid,Reachy Prints,23/05/2014,6
Carl Hultgren,Tomorrow,23/05/2014,7
White Sea,In Cold Blood,23/05/2014,6.8
Leyland Kirby Presents V/Vm,The Death of Rave (A Partial Flashback),23/05/2014,7.1
The Roots,...And Then You Shoot Your Cousin,23/05/2014,7.2
Datashock,Keine Oase in Sicht,22/05/2014,7.5
Vangelis Katsoulis,The Sleeping Beauties: A Collection of Early and Unreleased Works,22/05/2014,7.3
Mac Miller,Faces,22/05/2014,7.3
Traxman,Da Mind of Traxman Vol. 2,22/05/2014,7.5
Oasis,Definitely Maybe: Chasing the Sun Edition,22/05/2014,8.8
Big Boys,Lullabies Help the Brain Grow,21/05/2014,7.8
Elijah & Skilliam,Fabriclive 75,21/05/2014,6.7
TOBACCO,Ultima II Massage,21/05/2014,6.9
American Football,American Football,21/05/2014,8.6
Various Artist,Hyperdub 10.1,21/05/2014,8.5
Mason Bates,Stereo Is King,20/05/2014,7.5
Emma Ruth Rundle,Some Heavy Ocean,20/05/2014,7.4
Lewis,L'amour,20/05/2014,8.6
Cold Cave,Full Cold Moon,20/05/2014,6.8
Coldplay,Ghost Stories,20/05/2014,4.4
Herzog,Boys,19/05/2014,7.2
Trans Am,Volume X,19/05/2014,5
Arto Lindsay,The Encyclopedia of Arto Lindsay,19/05/2014,7.7
Boots,WinterSpringSummerFall,19/05/2014,5.7
Conor Oberst,Upside Down Mountain,19/05/2014,6.5
Moon B,II,16/05/2014,6.9
Sturgill Simpson,Metamodern Sounds in Country Music,16/05/2014,7.7
2 Chainz,FreeBase EP,16/05/2014,7.2
Agalloch,The Serpent & the Sphere,16/05/2014,8.3
The Pains of Being Pure at Heart,Days of Abandon,16/05/2014,7.5
Sculpture,Membrane Pop,15/05/2014,6.9
La Sera,Hour of the Dawn,15/05/2014,7.1
Iamsu!,Sincerely Yours,15/05/2014,6
Young Widows,Easy Pain,15/05/2014,7.9
Michael Jackson,Xscape,15/05/2014,4.1
Planning for Burial,Desideratum,14/05/2014,7.9
Wooden Wand,Farmer's Corner,14/05/2014,7.6
Fatima,Yellow Memories,14/05/2014,6.8
Low Pros,EP 1,14/05/2014,6.7
Chromeo,White Women,14/05/2014,7.6
Teitanblood,Death,13/05/2014,7.4
Amen Dunes,Love,13/05/2014,7.8
Gruff Rhys,American Interior,13/05/2014,8
Guided by Voices,Cool Planet,13/05/2014,6.2
The Black Keys,Turn Blue,13/05/2014,5.8
Kemialliset Ystavat,Alas Rattoisaa Virtaa,12/05/2014,7.6
Sean Nicholas Savage,Bermuda Waterfall,12/05/2014,7
Mirah,Changing Light,12/05/2014,6
Little Dragon,Nabuma Rubberband,12/05/2014,6.8
Swans,To Be Kind,12/05/2014,9.2
GoldLink,The God Complex,09/05/2014,7.9
Mike Adams At His Honest Weight,Best of Boiler Room Classics,09/05/2014,7.8
PAWS,Youth Culture Forever,09/05/2014,7.2
DJ Rashad,We On 1 EP,09/05/2014,7.8
Atmosphere,Southsiders,09/05/2014,6.3
Sleaford Mods,Divide and Exit,08/05/2014,7.8
Nat Baldwin,In the Hollows,08/05/2014,5.7
Mark E,Product of Industry,08/05/2014,7
Lee,TANHA,08/05/2014,7.4
Lily Allen,Sheezus,08/05/2014,5.4
Maria Minerva,Histrionic,07/05/2014,6.8
SFV Acid,Amber's Stuff,07/05/2014,6.6
Makthaverskan,II,07/05/2014,7.5
Fatima Al Qadiri,Asiatisch,07/05/2014,7.2
Baths,Ocean Death EP,07/05/2014,7.8
Wold,Postsocial,06/05/2014,8
Young Magic,Breathing Statues,06/05/2014,4
Antwon,Heavy Hearted in Doldrums,06/05/2014,7.3
The Horrors,Luminous,06/05/2014,6.7
Tune-Yards,Nikki Nack,06/05/2014,8.1
Wussy,Attica!,05/05/2014,7.8
Papercuts,Life Among the Savages,05/05/2014,6.7
Fujiya & Miyagi,Artificial Sweeteners,05/05/2014,5.8
Brian Eno,Someday World,05/05/2014,6.2
Lykke Li,I Never Learn,05/05/2014,8.4
Mincemeat or Tenspeed,Waiting for Surfin' Bird,02/05/2014,7.6
Creation Rebel,Threat to Creation,02/05/2014,8
Silkworm,Libertine,02/05/2014,7
Chad VanGaalen,Shrink Dust,02/05/2014,7.8
Neil Young,A Letter Home,02/05/2014,6.3
Wovenhand,Refractory Obdurate,01/05/2014,8.2
William Tyler,Lost Colony,01/05/2014,7.3
Sd Laika,That's Harakiri,01/05/2014,7.1
Grace Jones,Nightclubbing,01/05/2014,9
Ramona Lisa,Arcadia,01/05/2014,6.8
Survival Knife,Loose Power,30/04/2014,7.2
Prins Thomas,Prins Thomas III,30/04/2014,7.4
Pink Mountaintops,Get Back,30/04/2014,4.9
Fennesz,Becs,30/04/2014,7.8
Kelis,Food,30/04/2014,6.3
Good Willsmith,The Honeymoon Workbook,29/04/2014,7.8
Ex-Cult,Midnight Passenger,29/04/2014,7
The Moles,Flashbacks and Dream Sequences: The Story of the Moles,29/04/2014,8
Yuck,Southern Skies EP,29/04/2014,5.3
Ought,More Than Any Other Day,29/04/2014,8.4
Jacques Greene,Phantom Vibrate EP,28/04/2014,6.8
William Basinski,Melancholia,28/04/2014,7.4
Olga Bell,Krai (Krai),28/04/2014,8
Wye Oak,Shriek,28/04/2014,7.2
Damon Albarn,Everyday Robots,28/04/2014,7
Jesse Boykins III,Love Apparatus,25/04/2014,6.8
Larry Heard,Alien,25/04/2014,7.8
Gucci Mane,Young Thugga Mane La Flare,25/04/2014,6.9
Thee Silver Mt. Zion Memorial Orchestra,Hang On to Each Other EP,25/04/2014,6.4
Pixies,Come on Pilgrim,25/04/2014,8.3
Doss,Doss EP,24/04/2014,7.2
Old Wainds,Nordraum,24/04/2014,6
Beach Slang,Who Would Ever Want Anything So Broken? EP,24/04/2014,7.4
A Minor Forest,Flemish Altruism,24/04/2014,7.9
Thee Oh Sees,Drop,24/04/2014,7.8
Various Artist,Boring Ecstasy: The Bedroom Pop of Orchid Tapes,23/04/2014,7.3
Heterotic,Weird Drift,23/04/2014,6.8
Final Conflict,Ashes to Ashes,23/04/2014,7.8
Pharoahe Monch,P.T.S.D. (Post Traumatic Stress Disorder),23/04/2014,6.6
Songs: Ohia,Journey On: Collected Singles,23/04/2014,8.4
Tourist,Patterns EP,22/04/2014,7.5
Death,Death III,22/04/2014,6.5
Fear of Men,Loom,22/04/2014,6.8
David Lynch,The Air Is on Fire,22/04/2014,7.8
Future,Honest,22/04/2014,8.1
TEEN,The Way and Color,21/04/2014,6.6
Floor,Oblation,21/04/2014,7
Kool A.D.,Word O.K.,21/04/2014,6.7
Various Artist,Space Project,21/04/2014,6.5
LCD Soundsystem,The Long Goodbye,21/04/2014,8.1
