artist,album,genre,single_count
Ringo Deathstarr,Colour Trip,"Shoegaze, noise pop, alternative rock",0
Casey Darnell,Coming Alive,"CCM, worship, pop rock, acoustic",0
Gideon,Costs,"Christian hardcore, crossover thrash, melodic hardcore",0
Craig Campbell,Craig Campbell,Country,3
David Lynch,Crazy Clown Time,"Blues, electronic pop, avant-garde",4
Still Corners,Creatures of an Hour,"Dream pop, shoegaze, neo-psychedelia",0
Young Legionnaire,Crisis Works,Post-hardcore,1
Cults,Cults,"Indie pop, noise pop",5
Young Rebel Set,Curse Our Love,Alternative rock,0
Brite Futures,Dark Past,"Indie rock, synthpop, pop",0
Girls Names,Dead to Me,"Alternative rock, surf pop, noise pop",1
Decoder,Decoder,"Post-hardcore, post-rock",1
Elisa's,Det hÃ¤r Ã¤r bara bÃ¶rjan,Dansband music,0
Mia Martina,Devotion,"Dance, pop",6
Beady Eye,"Different Gear, Still Speeding",Britpop,5
Cities Aviv,Digital Lows,"Alternative hip hop, cloud rap, experimental hip hop, chillwave",0
Rory Scovel,Dilation,Stand-up comedy,0
Northlane,Discoveries,"Metalcore, progressive metal",0
Hope for the Dying,Dissimulation,Christian metal,0
Pac Div,The DiV,Hip hop,0
Emily's Army,Don't Be a Dick,"Punk rock, alternative rock, pop punk",2
Great Cynics,Don't Need Much,Punk rock,0
Falling in Reverse,The Drug in Me Is You,"Post-hardcore, emo, pop punk, metalcore, glam metal",5
Destroy Rebuild Until God Shows,D.R.U.G.S,"Post-hardcore, alternative rock, experimental rock",4
B.G. Knocc Out,Eazy-E's Protege,"G-funk, West Coast hip hop, Gangsta rap",1
AraabMuzik,Electronic Dream,"Hip hop, electronica, trance",0
The Birthday Suit,The Eleventh Hour,"indie rock, Alternative rock",0
Eli Lieb,Eli Lieb,"Pop, Electronic music, English",0
The Horrible Crowes,Elsie,"Blues, soul, rock",1
Emika,Emika,"Electronic, dubstep, trip hop",5
MÃ©lanie Laurent,En t'attendant,"Pop, rock",1
Auryn,"Endless Road, 7058","Pop, pop rock",5
Dreamers of the Ghetto,Enemy/Lover,"Rock, Alternative, Indie",0
Gazelle Twin,The Entire City,"Electronic, art pop",0
Seirom,Eremitic,Dark ambient,0
Singing Adams,Everybody Friends Now,"Indie, pop",0
Pyrrhon,An Excellent Servant But a Terrible Master,"Technical death metal, mathcore",0
Dulce MarÃ­a,Extranjera - Primera Parte,"Pop, dance-pop, latin pop, Pop, dance-pop",3
aTelecine,The Falcon and the Pod,Industrial music,0
Viva Brother,Famous First Words,"Britpop revival, alternative rock",3
Joe Jonas,Fastlife,"Pop, electropop, R&B",2
Fatoumata Diawara,Fatou,Folk music,0
Austra,Feel It Break,"Synth-pop, electropop, dark wave",3
Big Sean,Finally Famous,Hip hop,3
Christina Grimmie,Find Me,"Pop, pop rock",2
Chris Crocker,The First Bite,"Dance, electronica, pop",2
The Plot in You,First Born,Metalcore,1
CNBLUE,First Step,"Rock, Korean, Rock, Korean",2
Jay Rock,Follow Me Home,"West coast hip hop, gangsta rap",2
Jamala,For Every Heart,"Pop, Soul, Jazz",3
Torae,For the Record,East Coast hip hop,2
Romeo Santos,"Formula, Vol. 1","Bachata, Latin pop, R&B",6
Frankie Ballard,Frankie Ballard,Country,2
Dom Kennedy,From the Westside with Love II,Hip hop,0
The DC3,The Future Sound of Nostalgia,Rock,0
Alyssa Reid,The Game,"Pop, R&B, dance-pop",3
Bass Drum of Death,GB City,"Garage rock, noise rock, grunge, lo-fi",0
Low Cut Connie,Get Out the Lotion,"Rock and roll, indie rock",0
Girls' Generation,Girls' Generation,"Pop, Japanese",3
Travis Barker,Give the Drummer Some,Rap rock,1
Rustie,Glass Swords,Electronic,3
Saturnian Mist,Gnostikoi Ha-Shaitan,"Black metal, blackened death metal",0
WU LYF,Go Tell Fire to the Mountain,"Indie rock, post-rock, art rock, English",3
DELS,GOB,"Hip Hop, Electronic",4
Thundercat,The Golden Age of Apocalypse,Jazz,0
Funeral Party,The Golden Age of Knowhere,"Alternative rock, dance-punk",3
Little Scream,The Golden Record,"Indie rock, art rock, folk, pop",0
Tig Notaro,Good One,Stand-up comedy,0
Graham Alexander,Graham Alexander,"Pop, rock, funk, soul",0
Saigon,The Greatest Story Never Told,Hip hop,4
Intergalactic Lovers,Greetings & Salutations,"Indie rock, alternative rock",3
Dinosaur Pile-Up,Growing Pains,"Alternative rock, post-grunge",3
miwa,Guitarissimo,"J-pop, Pop Rock",5
Fallujah,The Harvest Wombs,"Technical death metal, progressive metal",0
Skull Fist,Head of the Pack,Heavy metal,0
I Break Horses,Hearts,Rock,0
Rebecca Ferguson,Heaven,"Soul, pop, blues, R&B",6
The Unguided,Hell Frost,"Melodic death metal, Alternative metal, Metalcore, Power metal, Melodic death metal, metalcore",3
Pistol Annies,Hell on Heels,Country,1
Total Control,Henge Beat,"Post-punk, new wave, indie rock, garage rock",0
Greyson Chance,Hold On 'til the Night,Pop rock,4
Holy Ghost!,Holy Ghost!,"Synthpop, nu-disco, indietronica, alternative dance",4
Kassidy,Hope St.,Alternative rock,0
I Am Giant,The Horrifying Truth,"Rock, Post-grunge",3
The Standstills,The Human Element,"Rock, Blues, Alternative",0
Frankie & The Heartstrings,Hunger,"Indie rock, indie pop",5
Erin,Hunningolla,Pop,0
Hunter Hayes,Hunter Hayes,Country,5
Hurtsmile,Hurtsmile,hard rock,0
Times of Grace,The Hymn of a Broken Man,"Heavy metal, metalcore, post-rock",1
Speak,I Believe In Everything,"Rock, indie, synthpop, pop",0
The City Harmonic,I Have a Dream (It Feels Like Home),"Christian rock, Contemporary worship music, indie rock",0
The Middle East,I Want That You Are Always Happy,"Indie folk, post-rock, ambient",1
Basement,I Wish I Could Stay Here,"Emo, post-hardcore, pop punk, melodic hardcore",0
Pete Holmes,Impregnated With Wonder,Stand-up comedy,0
Erra,Impulse,"Metalcore, progressive metal",0
Givers,In Light,Indie pop,0
Ã˜rjan Nilsen,In My Opinion,Trance,0
Symfonia,In Paradisum,Symphonic power metal,0
Little Comets,In Search of Elusive Little Comets,Indie rock,4
Nader Sadek,In the Flesh,Technical death metal,0
Clams Casino,Instrumentals,"Instrumental hip hop, electronic, illbient, glitchbeat, chillwave",0
3Ball MTY,IntÃ©ntalo,Tribal,2
The Leisure Society,Into the Murky Water,Folk-pop,0
Stala & so.,It Is So.,"Hard rock, glam rock",0
Pietro Lombardi,Jackpot,Pop,1
the JaneDear girls,the JaneDear girls,Country pop,3
Jonny,Jonny,Indie pop,0
I Fight Dragons,KABOOM!,"Electronic rock, chiptune, power pop",4
Katie Waissel,Katie Waissel,"Rock, jazz, pop, folk, funk",0
Cali Swag District,The Kickback,Hip hop,3
Nicole Scherzinger,Killer Love,"Pop, dance-pop, R&B",5
I Am Empire,Kings,"Alternative rock, Post-hardcore, Emo, Pop punk",3
Vampires Everywhere!,Kiss the Sun Goodbye,"Post-hardcore, horror punk, metalcore",0
Benjamin Francis Leftwich,Last Smoke Before the Snowstorm,Alternative,4
Marsha Ambrosius,Late Nights & Early Mornings,"R&B, soul",2
Alex Clare,The Lateness of the Hour,"Soul, alternative rock, dubstep, drum and bass, electronica",4
Hugh Laurie,Let Them Talk,Blues,2
Irma,Letter to the Lord,Folk music,0
Matt Cardle,Letters,Pop rock,4
Birgit Bidder,The Life Home,"Indie pop, indie rock",3
Clare Maguire,Light After Dark,"Pop, electropop, soul",3
Mirrors,Lights and Offerings,Synthpop,4
Stephanie Cayo,LlegarÃ©,"Pop, adult contemporary, jazz",3
Zahara,Loliwe,Afro-soul,2
Ab-Soul,Longterm Mentality,Hip hop,0
Brittany Hargest,Love All the Way,Rock,3
Christina Perri,Lovestrong,"Pop, power pop, pop rock, folk pop",3
Jacob Yates and the Pearly Gate Lock Pickers,Luck,"Alternative rock, Rockabilly",0
Go Radio,Lucky Street,"Pop rock, pop punk",2
Mademoiselle Yulia,Mademoworld,"Electronica, J-Pop",2
Cerebral Bore,Maniacal Miscreation,Death metal,0
Mann,Mann's World,Hip hop,3
The Minutes,Marcata,"Garage, Rock, Blues",6
Demonaz,March of the Norse,"Viking metal, black metal",0
Marlon Roudette,Matter Fixed,Rap,4
Penguin Cafe,A Matter of Life...,Chamber jazz,0
Matthew Morrison,Matthew Morrison,"Pop, adult contemporary",2
Lisa Matassa,Me Time,"Country, Rock, Pop",0
Can Bonomo,Meczup,"Jazz, pop, rock",3
Middle Brother,Middle Brother,"Folk rock, roots rock",0
Mikal Cronin,Mikal Cronin,"Indie rock, garage rock",0
Stephen Jerzak,Miles and Miles,Dance-pop,2
Mary Byrne,Mine & Yours,"Pop, rock",1
Jamie Woon,Mirrorwriting,Britpop,2
Eye Empire,Moment Of Impact,"Alternative metal, Hard rock",0
Caligulaâ€™s Horse,Moments from Ephemeral City,"Progressive metal, progressive rock",0
Sainthood Reps,Monoculture,"Indie rock, post-hardcore",3
Monstercat,Monstercat 001 â€“ Launch Week,"Dubstep, Electro house, Drum and Bass, Hardstyle",0
Charlene Soraia,Moonchild,"Pop, acoustic, folk",2
JPM,Moonwalk,"Mandopop, Mandarin",5
The Fudge,Morning Comes Again,"psychedelic rock, indie rock",0
Mohombi,MoveMeant,"R&B, dancehall, reggae fusion",5
Seth MacFarlane,Music Is Better Than Words,"Swing, big band, vocal jazz, traditional pop",2
BOY,Mutual Friends,Alternative rock,3
The Cinema,My Blood Is Full of Airplanes,Indie pop,4
Of Monsters and Men,My Head Is an Animal,"Indie folk, indie pop, indie rock",4
David Carreira,n. 1 (NÂº 1),"Pop, dance music, hip hop, R&B, Portuguese, English, French",1
NaÃ«la,NaÃ«la,Pop rock,4
Design the Skyline,Nevaeh,"Deathcore, metalcore, avant-garde metal",2
Grouplove,Never Trust a Happy Song,Indie pop,4
Iceage,New Brigade,"Post-punk, hardcore punk, noise rock, no wave",0
New Look,New Look,"Electropop, futurepop",0
Lauri YlÃ¶nen,New World,Synthpop,3
Nick 13,Nick 13,"Americana, country",0
Cloak of Altering,The Night Comes Illuminated With Death,"Avant-garde metal, black metal",0
Dev,The Night the Sun Came Up,"Electropop, dance-pop",3
Charles Bradley,No Time for Dreaming,"Soul, funk",2
Bamboo MaÃ±alac,"No Water, No Moon","Jazz, pop, rock",4
Ed Sheeran,No. 5 Collaborations Project,Grime,0
Noel Gallagher's High Flying Birds,Noel Gallagher's High Flying Birds,Alternative rock,5
Ninja Sex Party,NSFW,"Comedy rock, synthpop",8
Mindless Behavior,#1 Girl,"R&B, hip hop, pop, dance",4
Office of Future Plans,Office of Future Plans,Punk rock,0
Katy B,On a Mission,"Dance, dubstep, UK garage, drum and bass, rave, UK funky, electronica, house, breakbeat, R&B",6
Peter Furler,On Fire,"Contemporary Christian music, pop rock",3
Blood of the Martyrs,"Once More, with Feeling","Deathcore, symphonic metal",0
Tesseract,One,"Progressive metal, djent",1
Jamie Grace,One Song at a Time,"Christian pop, R&B",2
WATERS,Out In The Light,Indie rock,0
Matthewdavid,Outmind,Experimental,0
Pascal & Pearce,Passport,"Electro house, progressive house, funky house, dubstep",0
EMA,Past Life Martyred Saints,"Indie rock, noise pop, folk-noise",4
Penguin Prison,Penguin Prison,"Synthpop, dance-pop, indietronica",0
Natalia Kills,Perfectionist,"Dance-pop, synthpop, dark pop",4
Wayne Static,Pighammer,"Industrial metal, groove metal, nu metal, alternative metal",1
f(x),Pinocchio,"Kpop, dance-pop, electronica",2
Max Raptor,Portraits,Punk rock,3
The Jezabels,Prisoner,"Indie rock, alternative rock",4
Thomas Giles,Pulse,"Alternative rock, experimental rock, electronic, acoustic",0
YuiKaori,Puppy,J-Pop,5
The Internet,Purple Naked Ladies,"Trip hop, hip hop soul, R&B",4
MaYaN,Quarterpast,"Symphonic metal, Melodic death metal",0
Quilt,Quilt,"Indie folk, psychedelic folk",1
Yelawolf,Radioactive,Hip hop,2
Class Actress,Rapprocher,Synth-pop,0
Whitton,Rare Bird,Indie,0
Rebeldes,Rebeldes,"Pop, dance-pop, teen pop",3
Fallstar,Reconciler. Refiner. Igniter.,"Christian metal, metalcore",0
Dia Frampton,Red,"Indie pop, folk",0
Reece Mastin,Reece Mastin,"Rock, pop",1
Tedeschi Trucks Band,Revelator,"Rock, blues rock, blues, soul",0
We Are Augustines,Rise Ye Sunken Ships,Indie rock,0
Deafheaven,Roads to Judah,"Blackgaze, black metal",0
Smoke DZA,Rolling Stoned,Hip hop,0
Ronan Parke,Ronan Parke,Pop,1
Ronnie Dunn,Ronnie Dunn,"Country, Southern Rock",3
Runner Runner,Runner Runner,"Pop rock, power pop",3
Mr. Envi',Rydaz Redemption,Southern hip hop,0
Ivi Adamou,San Ena Oniro,"Pop, dance-pop",4
Alexandra Stan,Saxobeats,"Hi-NRG, dance, English, French",4
SBTRKT,SBTRKT,"Electronic, future garage, dubstep, breakbeat, soul, UK garage",4
Bewized,The Scorch of Rage,"Groove metal, Thrash metal, Progressive metal",0
Icon for Hire,Scripted,"Alternative metal, hard rock, electronic rock, pop punk",5
Kendrick Lamar,Section.80,Conscious hip hop,1
Jessica 6,See the Light,"Dance, synthpop",0
Seeker Lover Keeper,Seeker Lover Keeper,Indie rock,0
Selah Sue,Selah Sue,"R&B, neo-soul",4
Sepalcure,Sepalcure,"Future garage, Post-dubstep, Techno",0
The Rubberbandits,Serious About Men,"Comedy, rap",4
ScHoolboy Q,Setbacks,"Hip hop, West Coast hip hop, experimental hip hop",0
Kuedo,Severant,Dubstep,0
Title Fight,Shed,"Alternative rock, emo, melodic hardcore, pop punk, post-hardcore, punk rock",0
Mary-Jess Leaverland,Shine,"Pop, classical crossover, filmic, oriental pop",3
X-Pistols,Shoot To Kill,"Punk Rock, Hardcore Punk, Hip hop",0
Kristoffer Kompen Quartet,Short Stories of Happiness,Swing jazz,0
Six60,Six60,"Electronica, R&B, alternative rock",6
Sistar,So Cool,"K-pop, Dance-pop, Korean",4
Cecimonster Vs. Donka,Solara,"Alternative rock, post-hardcore, indie rock, post-rock",0
Somedaydream,Somedaydream,"Synthpop, pop, alternative dance",5
Black Spiders,Sons of the North,Stoner rock,0
Patrick Stump,Soul Punk,"Soul, R&B, synth-pop, funk",1
This Century,Sound of Fire,Pop rock,0
Nicolas Jaar,Space Is Only Noise,"Electronic, experimental",0
Battle Beast,Steel,"Heavy metal, power metal",0
The Stellas,The Stellas,Country,3
The Stepkids,The Stepkids,"Psychedelic soul, indie rock, funk",0
Rizzle Kicks,Stereo Typical,Hip hop,24
Cher Lloyd,Sticks and Stones,"Pop, dubstep, hip hop, R&B",4
Airship,Stuck in This Ocean,Indie,0
Wolf Gang,Suego Faults,"Alternative rock, Indie pop",0
Tidal Arms,The Sun Exploding,"Experimental, psychedelic, metal",0
Paradise Oskar,Sunday Songs,Pop,2
SuperHeavy,SuperHeavy,"Rock, reggae, Indian pop, soul",2
Wizkid,Superstar,"Afrobeat, afropop, reggae, dancehall, R&B",6
Noctura,Surrender the Sun,"Rock, Hard rock",0
DyE,Taki 183,"Electropop, electronic rock, techno",2
MEN,Talk About Body,"Electropop, Political music",3
Schenker's Temple of Rock,Temple of Rock,"Hard rock, heavy metal",0
Fly Union,TGTC (The Greater Than Club),"Hip hop, R&B, neo soul",4
Thees Uhlmann,Thees Uhlmann,"Indie rock, rock, acoustic",2
Phinehas,Thegodmachine,"Metalcore, thrash metal",3
The Groggers,There's No 'I' in Cherem,"Jewish music, pop punk",4
Dillon,This Silence Kills,"Indie pop, electronic, art pop",0
Thompson Square,Thompson Square,Country,4
Thyresis,Thyresis,Melodic death metal,0
Theophilus London,Timez Are Weird These Days,"Hip hop, alternative R&B",1
Brothers Reid,Top of the Old Road,"Country, folk",0
Lucy Spraggan,Top Room at the Zoo,Pop,0
Marcelo Camelo,Toque Dela,"Indie, MPB",1
Foster the People,Torches,"Indie pop, indie electronic, synth-pop, psychedelic pop, dance-pop",5
SebastiAn,Total,"House, electro house, experimental, glitch",3
Aaron Lewis,Town Line,"Country, country rock",1
Mr. Dream,TrashHit,"post-punk, indie rock",3
Dynasty,Truer Living with a Youthful Vengeance,"Christian hardcore, hardcore punk",0
We Are Defiance,Trust in Few,"Metalcore, post-hardcore",3
Ulrik Munther,Ulrik Munther,Rock,4
Papa vs Pretty,United in Isolation,"Rock, indie rock, alternative rock",3
Unknown Mortal Orchestra,Unknown Mortal Orchestra,"Indie pop, psychedelic rock, lo-fi",2
Snow Tha Product,Unorthodox,"Hip hop, pop rap",0
One Direction,Up All Night,Pop,4
V. Rose,V. Rose,"Christian electronic dance music, contemporary R&B, electropop",0
Volumes,Via,Metalcore,0
Max B,Vigilante Season,Hip hop,0
Esben and the Witch,Violet Cries,"Post-rock, dream pop",3
After School,Virgin,"Dance-pop, electropop",3
Verbal,Visionair,"Rap, hip hop, electro, Japanese, English",3
Kimbra,Vows,Art pop,6
The Sound of Arrows,Voyage,Synthpop,4
Warr Acres,Warr Acres,"contemporary worship music, contemporary Christian music, pop rock",0
Swimming With Dolphins,Water Colours,"Electronica, synthpop, indietronica",0
Raleigh Moncrief,Watered Lawn,Electronic,0
Wolfgang Gartner,Weekend in America,"Electro house, hip house",0
Hyland,Weights & Measures,"Pop rock, Christian rock",0
Nero,Welcome Reality,"Dubstep, indie dance, electro house, drum and bass",8
Tim Bendzko,Wenn Worte meine Sprache wÃ¤ren,Pop,0
Chris Medina,What Are Words,Rock,0
Ashes Remain,What I've Become,Christian rock,7
Nothing Til Blood,When Lambs Become Lions,"Christian hardcore, Christian metal",0
Jessie J,Who You Are,R&B,7
Widowspeak,Widowspeak,"Indie rock, dream pop, shoegaze",0
Wild Flag,Wild Flag,"Indie rock, post-punk, krautrock",0
Lauren Alaina,Wildflower,Country,3
A Winged Victory for the Sullen,A Winged Victory for the Sullen,"Modern classical, ambient",0
Washed Out,Within and Without,"Chillwave, synth-pop",0
Kimberly Caldwell,Without Regret,"Pop, pop rock",2
Thomas Ring Petersen,Wrong Side of the Daylight,Rock,2
Xavier and Ophelia,Xavier & Ophelia,Rock,0
Youth Lagoon,The Year of Hibernation,"Dream pop, lo-fi, neo-psychedelia",2
"SNO (Lil Wyte, JellyRoll, BPZ)",Year Round,"Hip hop, Southern hip hop",4
Jack Vidgen,Yes I am,"Pop, soul, R&B",1
Charlie Simpson,Young Pilgrim,"Acoustic, folk, indie rock, English",4
Young Statues,Young Statues,"Emo, indie rock",0
Yamantaka // Sonic Titan,YT//ST,Progressive rock,0
Yuck,Yuck,"Indie rock, noise rock, shoegazing",6
ZoÃ« Badwi,ZoÃ«,"Pop, dance",5
Demy,#1,"Pop, dance-pop",7
Mac DeMarco,2,Indie,0
Summer Heart,About a Feeling,"Dream pop, indie pop, lo-fi, new wave",1
Willis Earl Beal,Acousmatic Sorcery,"Lo-fi, outsider, soul, blues",0
RNDM,Acts,"Hard rock, Alternative rock",0
Alice Caymmi,Alice Caymmi,MÃºsica popular brasileira,0
Titanium,All for You,"Pop, pop rock, dance-pop, teen pop, power pop",6
Tremonti,All I Was,"Thrash metal, speed metal, alternative metal, hard rock, post-grunge",5
Dog Is Dead,All Our Favourite Stories,"Indie rock, indie pop",0
Allen Stone,Allen Stone,R&B,0
Howler,America Give Up,"Indie rock, surf music, garage rock",0
Dads,American Radass (This Is Important),"Emo, math rock, indie rock",0
The D.O.T.,And That,Electronic,1
Ania Teliczan,Ania Teliczan,"Rock'n'roll, R&B, jazz, pop",1
Pure Love,Anthems,"Alternative rock, garage rock, punk rock, hard rock",4
Hammercult,Anthems of the Damned,Thrash metal,0
Anywhere,Anywhere,"Psychedelic rock, psychedelic folk, progressive rock",2
California Wives,Art History,"Indie pop, new wave",0
Secrets,The Ascent,"Metalcore, post-hardcore",4
Attaloss,ATTALOSS,Alternative rock,1
Don Broco,Automatic,"alternative rock, funk rock, post-hardcore",3
Koncept,Awaken,"Rap, Hip hop",0
THEESatisfaction,awE naturalE,Alternative hip hop,0
alt-J,An Awesome Wave,"Pop, indie pop, folktronica, art rock",7
Primal Rock Rebellion,Awoken Broken,"Heavy metal, progressive metal, alternative metal",1
Adler,Back from the Dead,"Rock, hard rock, heavy metal",0
Caligola,Back to Earth,Rock,0
Cover Drive,Bajan Style,"R&B, pop, reggae fusion, hip hop",4
Alex Ferrari,BarÃ¡ BerÃª,Sertanejo,0
2 Chainz,Based on a T.R.U. Story,Hip hop,3
DeStorm Power hosted by DJ Whoo Kid,Be Careful,Hip hop,5
The 2 Bears,Be Strong,Electronic,2
Liberteer,Better to Die on Your Feet Than Live on Your Knees,Grindcore,0
Matthew E. White,Big Inner,"Pop, Rock, indie rock, psychedelic rock",0
Chris Robinson Brotherhood,Big Moon Ritual,Blues rock,0
ClariS,Birthday,J-pop,4
"Gary Clark, Jr.",Blak and Blu,"Blues rock, neo-soul, R&B, hard rock, Hip hop, R&B, pop, indie pop",2
Blank Banshee,Blank Banshee 0,Vaporwave,0
Never A Hero,Bleed Between The Lies,"Rock, Metal, Alternative",2
The Dunwells,Blind Sighted Faith,"Rock, Folk rock, Americana",0
Skyharbor,Blinding White Noise: Illusion & Chaos,Progressive metal,0
Blondes,Blondes,"Electronic music, House",3
Jack White,Blunderbuss,"Blues rock, garage rock, alternative rock, folk rock",4
Reptar,Body Faucet,"Alternative rock, dance-rock, indietronica",0
Main Attrakionz,Bossalinis & Fooliyones,Hip hop,0
Grand Supreme Blood Court,Bow Down Before the Blood Court,"Death metal, death/doom",0
Chiddy Bang,Breakfast,Hip hop,2
The Gaslamp Killer,Breakthrough,"Alternative hip hop, electronic",0
Brendon Small,Brendon Small's Galaktikon,"Progressive metal, space rock, progressive rock, heavy metal",0
Steve Harris,British Lion,Hard rock,0
Scott Tixier,Brooklyn Bazaar,Jazz,0
Emma Hewitt,Burn The Sky Down,"Ambient, Electronic, Pop",5
Eskimo Callboy,Bury Me in Vegas,"Metalcore, electronicore",1
The Cadillac Three,The Cadillac Three,"Country Rock, Southern Rock",0
Wolves at the Gate,Captors,"Christian metal, post-hardcore, metalcore",0
Delta Rae,Carry The Fire,Folk,0
Casey Abrams,Casey Abrams,Jazz-pop,2
Casey James,Casey James,Country,3
Glory,Celebration,Rap,1
My Tiger My Timing,Celeste,"New wave, pop, indie rock",4
Kalenna Harper,Chamber of Diaries,"Hip hop, R&B",3
Frank Ocean,Channel Orange,"Alternative R&B, neo soul",5
Lawson,Chapman Square,Pop rock,6
Zedd,Clarity,"EDM, electro house, progressive house, dance-pop",5
Jam City,Classical Curves,"Electronic, experimental, UK bass",0
Soen,Cognitive,"Progressive metal, Progressive rock",0
The Collective,The Collective,Pop,2
Christopher,Colours,Pop,4
Rhett Walker Band,Come to the River,"Christian alternative rock, Southern rock",0
Altars,Conclusions,"Christian metal, metalcore",0
Forever Came Calling,Contender,Pop punk,0
Conor Maynard,Contrast,"Electronic, dubstep, R&B",4
Hubert Wu,Couple Getaway,Cantopop,0
Smitz,Cretin Crossover,"Ska, punk",0
XL,Dance All Night,"R&B, pop",3
Half Moon Run,Dark Eyes,"Indie rock, Indie folk, Indie pop",3
The Lucky Bullets,Dead Man's Shoes,Rockabilly,1
Dead Sara,Dead Sara,Hard rock,4
Being as an Ocean,Dear G-d...,"Post-hardcore, melodic hardcore, post-rock",0
Martin Rossiter,The Defenestration of St Martin,Indie,0
Jamie Teachenor,The Departure,"Rock, Singer-Songwriter",0
Desmadrados Soldados de Ventura,Desmadrados Soldados de Ventura,Psychedelic rock,0
Dick Valentine,Destroy the Children,Acoustic,0
The Swearengens,Devil Gets Her Way,"Country, alternative country, americana, country rock, roots rock",0
Natalie Duncan,Devil In Me,"Blues, soul, jazz, classical",2
Jessie Ware,Devotion,"Pop, sophisti-pop, soul",6
