artist,album,metascore,userscore,release_date
Peter Matthew Bauer,Mount Qaf (Divine Love),75,tbd,"Nov 10, 2017"
Buffy Sainte-Marie,Medicine Songs,81,tbd,"Nov 10, 2017"
James Holden & the Animal Spirits,The Animal Spirits,81,7.5,"Nov  3, 2017"
Diet Cig,Swear I'm Good at This,79,6.7,"Apr  7, 2017"
James Yorkston,Neuk Wight Delhi All-Stars,79,tbd,"Apr  7, 2017"
Michelle Branch,Hopeless Romantic,72,7.1,"Apr  7, 2017"
Arca,Arca,87,8.0,"Apr  7, 2017"
Joey Bada$$,All-Amerikkkan Bada$$,75,8.0,"Apr  7, 2017"
Amadou & Mariam,La Confusion,80,tbd,"Sep 22, 2017"
Enter Shikari,The Spark,74,7.8,"Sep 22, 2017"
The Bronx,BRVNX (V),66,tbd,"Sep 22, 2017"
Macklemore,Gemini,63,6.1,"Sep 22, 2017"
Omni,Multi-Task,74,7.5,"Sep 22, 2017"
Cold Specks,Fool's Paradise,73,tbd,"Sep 22, 2017"
Circa Survive,The Amulet,70,tbd,"Sep 22, 2017"
Stephen Stills,Everybody Knows,64,tbd,"Sep 22, 2017"
Linda Perhacs,I'm a Harmony,81,tbd,"Sep 22, 2017"
Shout Out Louds,Ease My Mind,69,tbd,"Sep 22, 2017"
Converge,The Dusk in Us,89,7.6,"Nov  3, 2017"
Sam Smith,The  Thrill of It All,72,6.7,"Nov  3, 2017"
Shamir,Revelations,70,6.1,"Nov  3, 2017"
Bibio,Phantom Brickworks,78,6.9,"Nov  3, 2017"
Stereophonics,Scream Above the Sounds,57,7.4,"Nov  3, 2017"
Maroon 5,Red Pill Blues,58,4.4,"Nov  3, 2017"
Anti-Flag,American Fall,72,7.4,"Nov  3, 2017"
Daphni,Joli Mai,78,tbd,"Nov  3, 2017"
Liima,1982,73,tbd,"Nov  3, 2017"
Funkadelic,Reworked by Detroiters,77,tbd,"Nov  3, 2017"
Bob Dylan,"Trouble No More: The Bootleg Series, Vol. 13 1979-1981",88,tbd,"Nov  3, 2017"
Dave Clarke,The Desecration of Desire,73,tbd,"Nov  3, 2017"
Guided by Voices,August by Cake,70,8.5,"Apr  7, 2017"
Cory Branan,Adios,70,tbd,"Apr  7, 2017"
Andrew Combs,Canyons of My Mind,83,tbd,"Apr  7, 2017"
Karen Elson,Double Roses,72,8.8,"Apr  7, 2017"
Alexandra Savior,Belladonna of Sadness,66,7.3,"Apr  7, 2017"
Ulver,The  Assassination of Julius Caesar,82,7.9,"Apr  7, 2017"
Fujiya & Miyagi,Fujiya & Miyagi,72,tbd,"Apr  7, 2017"
San Fermin,Belong,73,tbd,"Apr  7, 2017"
The Big Moon,Love in the 4th Dimension,75,7.6,"Apr  7, 2017"
Cold War Kids,L.A. Divine,49,6.0,"Apr  7, 2017"
Happyness,Write In,78,tbd,"Apr  7, 2017"
Laraaji,Bring on the Sun,76,tbd,"Sep 22, 2017"
Van Morrison,Roll with the Punches,69,tbd,"Sep 22, 2017"
Josh Ritter,Gathering,88,tbd,"Sep 22, 2017"
Mastodon,Cold Dark Place [EP],74,7.7,"Sep 22, 2017"
Chris Hillman,Bidin' My Time,76,tbd,"Sep 22, 2017"
Marc Almond,Shadows and Reflections,75,tbd,"Sep 22, 2017"
Fergie,Double Dutchess,53,7.5,"Sep 22, 2017"
Acetone,1992-2001,81,tbd,"Sep 22, 2017"
Midland,Fabriclive 94,81,tbd,"Sep 22, 2017"
Neil Finn,Out of Silence,84,tbd,"Sep 22, 2017"
Kelsea Ballerini,Unapologetically,74,8.1,"Nov  3, 2017"
Blitzen Trapper,Wild and Reckless,69,tbd,"Nov  3, 2017"
Billy Bragg,Bridges Not Walls [EP],71,tbd,"Nov  3, 2017"
Golden Teacher,No Luscious Life,74,tbd,"Nov  3, 2017"
Warhaus,Warhaus,70,tbd,"Nov  3, 2017"
U-Men,U-Men,86,tbd,"Nov  3, 2017"
Eera,Reflection of Youth,73,tbd,"Nov  3, 2017"
Jonti,Tokorats,76,tbd,"Nov  3, 2017"
Rabit,Les Fleurs du Mal,71,tbd,"Nov  3, 2017"
Alvarius B.,With a Beaker on the Burner & An Otter in the Oven,84,tbd,"Nov  3, 2017"
21 Savage,Without Warning,78,7.0,"Oct 31, 2017"
"Slaughter Beach, Dog",Birdie,70,tbd,"Oct 27, 2017"
Clark,Death Peak,78,7.3,"Apr  7, 2017"
White Reaper,The World's Best American Band,79,tbd,"Apr  7, 2017"
The Chainsmokers,Memories: Do Not Open,43,1.8,"Apr  7, 2017"
Falling in Reverse,Coming Home,67,7.3,"Apr  7, 2017"
The Smith Street Band,More Scared of You than You Are of Me,87,6.9,"Apr  7, 2017"
K.Flay,Every Where Is Some Where,67,8.0,"Apr  7, 2017"
Wear Your Wounds,WYW,85,tbd,"Apr  7, 2017"
The Blow,Brand New Abyss,75,tbd,"Sep 22, 2017"
Leon Russell,On a Distant Shore,71,tbd,"Sep 22, 2017"
Luna,A Place of Greater Safety [EP],67,tbd,"Sep 22, 2017"
Flamin Groovies,Fantastic Plastic,72,tbd,"Sep 22, 2017"
Steve Martin,The  Long-Awaited Album,72,tbd,"Sep 22, 2017"
Jon Langford,Four Lost Souls,73,tbd,"Sep 22, 2017"
Steffi,World of the Waking State,84,tbd,"Sep 22, 2017"
Ringo Starr,Give More Love,55,5.0,"Sep 15, 2017"
Julien Baker,Turn Out the Lights,83,7.8,"Oct 27, 2017"
Weezer,Pacific Daydream,64,5.1,"Oct 27, 2017"
John Maus,Screen Memories,78,7.3,"Oct 27, 2017"
Baxter Dury,Prince of Tears,78,7.3,"Oct 27, 2017"
Bootsy Collins,World Wide Funk,70,tbd,"Oct 27, 2017"
Martin Carr,New Shapes of Life,71,tbd,"Oct 27, 2017"
Lee Ann Womack,"The Lonely, The Lonesome & The Gone",77,tbd,"Oct 27, 2017"
Lankum,Between the Earth & Sky,90,8.1,"Oct 27, 2017"
Kelly Clarkson,Meaning of Life,73,8.0,"Oct 27, 2017"
Gregory Porter,Nat King Cole & Me,71,tbd,"Oct 27, 2017"
Curtis Harding,Face Your Fear,80,6.5,"Oct 27, 2017"
Tamikrest,Kidal,81,tbd,"Apr  7, 2017"
Royal Thunder,Wick,87,5.8,"Apr  7, 2017"
Gnod,Just Say No to the Psycho Right-Wing Capitalist Fascist Industrial Death Machine,78,tbd,"Apr  7, 2017"
Gonjasufi,Mandela Effect,69,tbd,"Apr  7, 2017"
Sun Ra,Thunder of the Gods,77,tbd,"Apr  7, 2017"
Various Artists,Resistance Radio: The Man in the High Castle Album,62,tbd,"Apr  7, 2017"
The Obsessed,Sacred,77,tbd,"Apr  7, 2017"
Hawkwind,Into The Woods,74,tbd,"Apr  5, 2017"
Freddie Gibbs,You Only Live 2wice,76,7.5,"Mar 31, 2017"
Prophets of Rage,Prophets of Rage,54,5.3,"Sep 15, 2017"
Foo Fighters,Concrete and Gold,72,7.7,"Sep 15, 2017"
Rostam,Half-Light,77,7.4,"Sep 15, 2017"
Emily Haines & the Soft Skeleton,Choir of the Mind,75,7.6,"Sep 15, 2017"
Superfood,Bambino,81,tbd,"Sep 15, 2017"
Antibalas,Where the Gods Are in Peace,81,7.3,"Sep 15, 2017"
Lee Ranaldo,Electric Trim,73,6.1,"Sep 15, 2017"
Deer Tick,"Deer Tick, Vol. 1",73,tbd,"Sep 15, 2017"
Deer Tick,"Deer Tick, Vol. 2",76,tbd,"Sep 15, 2017"
Courtney Pine,Black Notes From the Deep,80,tbd,"Oct 27, 2017"
The Used,The  Canyon,75,7.2,"Oct 27, 2017"
Daniele Luppi,Milano,77,6.8,"Oct 27, 2017"
Big K.R.I.T.,4eva Is a Mighty Long Time,80,8.0,"Oct 27, 2017"
Ty Dolla $ign,Beach House III,77,6.8,"Oct 27, 2017"
Fever Ray,Plunge,87,7.5,"Oct 27, 2017"
Special Request,Belief System,75,tbd,"Oct 27, 2017"
Zombie Zombie,Livity,68,tbd,"Oct 27, 2017"
The Smiths,The Queen Is Dead [Deluxe Edition),99,8.2,"Oct 20, 2017"
Wild Beasts,Punk Drunk And Trembling [EP],78,tbd,"Oct 20, 2017"
Bully,Losing,74,6.6,"Oct 20, 2017"
Rodney Crowell,Close Ties,86,7.4,"Mar 31, 2017"
Pile,A Hairshirt Of Purpose,87,7.7,"Mar 31, 2017"
Les Amazones d'Afrique,Republique Amazone,79,tbd,"Mar 31, 2017"
Aimee Mann,Mental Illness,84,7.7,"Mar 31, 2017"
Goldfrapp,Silver Eye,74,7.7,"Mar 31, 2017"
Mastodon,Emperor of Sand,78,8.0,"Mar 31, 2017"
Orchestra Baobab,Tribute to Ndiouga Dieng,79,tbd,"Mar 31, 2017"
Ariel Pink,Dedicated to Bobby Jameson,80,7.7,"Sep 15, 2017"
Yusuf,The Laughing Apple,68,8.3,"Sep 15, 2017"
Son Little,New Magic,81,6.6,"Sep 15, 2017"
Gary Numan,Savage (Songs from a Broken World),74,6.8,"Sep 15, 2017"
Myrkur,Mareridt,80,7.6,"Sep 15, 2017"
Re-Tros,Before the Applause,84,tbd,"Sep 15, 2017"
Open Mike Eagle,Brick Body Kids Still Daydream,82,7.9,"Sep 15, 2017"
Lizz Wright,Grace,76,tbd,"Sep 15, 2017"
Trio Da Kali,Ladilikan,84,tbd,"Sep 15, 2017"
Carole King,Tapestry: Live in Hyde Park,85,tbd,"Sep 15, 2017"
Destroyer,Ken,78,7.8,"Oct 20, 2017"
Margo Price,All American Made,82,7.7,"Oct 20, 2017"
John Carpenter,Anthology: Movie Themes 1974-1998,78,tbd,"Oct 20, 2017"
Lee Gamble,Mnestic Pressure,80,tbd,"Oct 20, 2017"
Various Artists,Even a Tree Can Shed Tears: Japanese Folk & Rock 1969-1973,84,tbd,"Oct 20, 2017"
Bill MacKay,SpiderBeetleBee,82,tbd,"Oct 20, 2017"
Niall Horan,Flicker,64,7.8,"Oct 20, 2017"
Jessie Ware,Glasshouse,72,7.2,"Oct 20, 2017"
Julia Holter,In the Same Room,76,7.7,"Mar 31, 2017"
Bob Dylan,Triplicate,80,7.9,"Mar 31, 2017"
Pharmakon,Contact,79,6.7,"Mar 31, 2017"
Lydia Ainsworth,Darling of the Afterglow,75,7.0,"Mar 31, 2017"
Coco Hames,Coco Hames,74,tbd,"Mar 31, 2017"
Chaz Bundick,Star Stuff,69,tbd,"Mar 31, 2017"
British Sea Power,Let the Dancers Inherit the Party,78,7.6,"Mar 31, 2017"
Jamiroquai,Automaton,71,7.7,"Mar 31, 2017"
Nelly Furtado,The Ride,64,8.3,"Mar 31, 2017"
Saltland,A Common Truth,84,tbd,"Mar 31, 2017"
Body Count,Bloodlust,64,6.9,"Mar 31, 2017"
Hauschka,What If,82,7.6,"Mar 31, 2017"
Willie Watson,"Folk Singer, Vol. 2",84,tbd,"Sep 15, 2017"
BIG|BRAVE,Ardor,79,tbd,"Sep 15, 2017"
Hundred Waters,Communicating,75,7.5,"Sep 14, 2017"
Laraaji,Sun Gong,69,tbd,"Sep  8, 2017"
Anna of the North,Lovers,80,8.4,"Sep  8, 2017"
Death from Above,Outrage! Is Now,65,7.6,"Sep  8, 2017"
Neil Young,Hitchhiker,85,8.0,"Sep  8, 2017"
Sparks,Hippopotamus,81,6.8,"Sep  8, 2017"
The National,Sleep Well Beast,85,8.4,"Sep  8, 2017"
Angelo De Augustine,Swim Inside the Moon,81,tbd,"Sep  8, 2017"
Deerhoof,Mountain Moves,79,7.7,"Sep  8, 2017"
Micah P. Hinson,Presents the Holy Strangers,82,tbd,"Sep  8, 2017"
Kllo,Backwater,76,7.3,"Oct 20, 2017"
GWAR,The  Blood of Gods,67,tbd,"Oct 20, 2017"
Circuit des Yeux,Reaching for Indigo,87,7.2,"Oct 20, 2017"
Bell Witch,Mirror Reaper,85,7.3,"Oct 20, 2017"
Makthaverskan,III,79,tbd,"Oct 20, 2017"
Jackie Shane,Any Other Way,85,tbd,"Oct 20, 2017"
Grandbrothers,Open,71,tbd,"Oct 20, 2017"
Wretch 32,FR32,61,tbd,"Oct 20, 2017"
Saicobab,Sab Se Purani Bab,78,tbd,"Oct 20, 2017"
Colleen,"A  Flame My Love, a Frequency",80,tbd,"Oct 20, 2017"
William Eggleston,Musik,75,tbd,"Oct 20, 2017"
Jake Xerxes Fussell,What in the Natural World,87,5.6,"Mar 31, 2017"
The Mavericks,Brand New Day,78,tbd,"Mar 31, 2017"
Tei Shi,Crawl Space,80,7.8,"Mar 31, 2017"
Sneaks,It's a Myth,79,tbd,"Mar 31, 2017"
Charlotte OC,Careless People,75,tbd,"Mar 31, 2017"
Geotic,Abysma,63,tbd,"Mar 31, 2017"
Alvvays,Antisocialites,77,8.3,"Sep  8, 2017"
Zola Jesus,Okovi,79,7.6,"Sep  8, 2017"
Mount Kimbie,Love What Survives,82,7.8,"Sep  8, 2017"
Tori Amos,Native Invader,76,8.4,"Sep  8, 2017"
Chad VanGaalen,Light Information,78,tbd,"Sep  8, 2017"
Gregg Allman,Southern Blood,82,tbd,"Sep  8, 2017"
Alex Cameron,Forced Witness,69,8.4,"Sep  8, 2017"
Nick Mulvey,Wake Up Now,73,tbd,"Sep  8, 2017"
The Waterboys,Out of All This Blue,68,tbd,"Sep  8, 2017"
Ted Leo,The Hanged Man,78,8.2,"Sep  8, 2017"
Jack Johnson,All the Light Above It Too,62,5.4,"Sep  8, 2017"
Living Colour,Shade,74,tbd,"Sep  8, 2017"
Nosaj Thing,Parallels,71,tbd,"Sep  8, 2017"
Krept & Konan,7 Days [Mixtape],82,tbd,"Oct 20, 2017"
Krept & Konan,7 Nights [Mixtape],75,tbd,"Oct 20, 2017"
And So I Watch You from Afar,The Endless Shimmering,77,tbd,"Oct 20, 2017"
Visionist,Value,69,tbd,"Oct 20, 2017"
Esmerine,Mechanics of Dominion,83,tbd,"Oct 20, 2017"
The Jazz Butcher,The Wasted Years [Box Set],79,tbd,"Oct 20, 2017"
Wadada Leo Smith,Solo: Reflections and Meditations on Monk,74,tbd,"Oct 20, 2017"
Turnpike Troubadours,A Long Way from Your Heart,84,tbd,"Oct 20, 2017"
Hogni,Two Trains,65,tbd,"Oct 20, 2017"
Patrick Cowley,Afternooners,86,tbd,"Oct 20, 2017"
Future,Super Slimey [Mixtape],66,6.3,"Oct 20, 2017"
Christian Scott,The Emancipation Procrastination,83,tbd,"Oct 20, 2017"
Dave Davies,Open Road,65,tbd,"Mar 31, 2017"
The Jesus and Mary Chain,Damage and Joy,70,7.0,"Mar 24, 2017"
The Moonlandingz,Interplanetary Class Classics,85,7.0,"Mar 24, 2017"
Craig Finn,We All Want the Same Things,73,6.8,"Mar 24, 2017"
Spiral Stairs,Doris & the Daggers,74,tbd,"Mar 24, 2017"
Creeper,"Eternity, In Your Arms",89,7.5,"Mar 24, 2017"
Mount Eerie,A Crow Looked at Me,93,7.9,"Mar 24, 2017"
Kelly Lee Owens,Kelly Lee Owens,79,7.9,"Mar 24, 2017"
Johnny Flynn,Sillion,74,tbd,"Mar 24, 2017"
Laetitia Sadier Source Ensemble,Find Me Finding You,81,tbd,"Mar 24, 2017"
Ruthie Foster,Joy Comes Back,76,tbd,"Mar 24, 2017"
L.A. Witch,L.A Witch,83,7.7,"Sep  8, 2017"
The Dream Syndicate,How Did I Find Myself Here?,80,tbd,"Sep  8, 2017"
Tony Allen,The Source,83,tbd,"Sep  8, 2017"
ODESZA,A Moment Apart,65,7.4,"Sep  8, 2017"
Lunice,CCCLX,63,tbd,"Sep  8, 2017"
Midnight Sister,Saturn Over Sunset,80,tbd,"Sep  8, 2017"
Beaches,Second of Spring,77,tbd,"Sep  8, 2017"
Greg Fox,The Gradual Progression,77,tbd,"Sep  8, 2017"
Princess Nokia,1992 Deluxe,77,7.4,"Sep  8, 2017"
David Ramirez,We're Not Going Anywhere,79,tbd,"Sep  8, 2017"
The Surfing Magazines,The Surfing Magazines,60,tbd,"Sep  8, 2017"
Flat Worms,Flat Worms,76,tbd,"Oct 20, 2017"
Squeeze,The Knowledge,81,5.1,"Oct 13, 2017"
Melkbelly,Nothing Valley,78,tbd,"Oct 13, 2017"
Robert Plant,Carry Fire,84,8.1,"Oct 13, 2017"
The Front Bottoms,Going Grey,78,tbd,"Oct 13, 2017"
William Patrick Corgan,Ogilala,70,7.8,"Oct 13, 2017"
Beck,Colors,72,8.1,"Oct 13, 2017"
St. Vincent,Masseduction,88,8.8,"Oct 13, 2017"
Courtney Barnett,Lotta Sea Lice,79,7.5,"Oct 13, 2017"
King Krule,The Ooz,80,8.0,"Oct 13, 2017"
The Barr Brothers,Queens of the Breakers,77,6.9,"Oct 13, 2017"
Rationale,Rationale,72,tbd,"Oct 13, 2017"
The Selecter,Daylight,71,tbd,"Oct 13, 2017"
Jacques Greene,Feel Infinite,79,7.0,"Mar 24, 2017"
The Residents,The Ghost of Hope,69,tbd,"Mar 24, 2017"
Formation,Look at the Powerful People,66,tbd,"Mar 24, 2017"
Pallbearer,Heartless,82,7.9,"Mar 24, 2017"
The Bug,Concrete Desert,78,tbd,"Mar 24, 2017"
Samantha Crain,You Had Me at Goodbye,72,tbd,"Mar 24, 2017"
Soulwax,From Deewee,69,6.9,"Mar 24, 2017"
Desperate Journalist,Grow Up,79,tbd,"Mar 24, 2017"
Hercules & Love Affair,Omnion,78,7.4,"Sep  1, 2017"
Mogwai,Every Country's Sun,79,7.7,"Sep  1, 2017"
LCD Soundsystem,American Dream,86,8.4,"Sep  1, 2017"
Mary Epworth,Elytral,78,tbd,"Sep  1, 2017"
The Pains of Being Pure at Heart,The Echo of Pleasure,71,7.9,"Sep  1, 2017"
Orchestral Manoeuvres in the Dark,The Punishment of Luxury,71,8.8,"Sep  1, 2017"
Bicep,Bicep,79,8.0,"Sep  1, 2017"
Jake Bugg,Hearts That Strain,66,7.9,"Sep  1, 2017"
Martin Simpson,Trails & Tribulations,69,tbd,"Sep  1, 2017"
INHEAVEN,Inheaven,73,tbd,"Sep  1, 2017"
Starsailor,All This Life,75,tbd,"Sep  1, 2017"
Stars,There Is No Love in Fluorescent Light,79,7.5,"Oct 13, 2017"
P!nk,Beautiful Trauma,62,7.4,"Oct 13, 2017"
Wu-Tang,The Saga Continues,64,7.8,"Oct 13, 2017"
Knuckle Puck,Shapeshifter,84,7.7,"Oct 13, 2017"
Gucci Mane,Mr. Davis,77,6.4,"Oct 13, 2017"
TUSKS,Dissolve,75,tbd,"Oct 13, 2017"
Jon Boden,Afterglow,59,tbd,"Oct 13, 2017"
King Gizzard & the Lizard Wizard,Sketches of Brunswick East,79,7.7,"Oct 13, 2017"
The Rural Alberta Advantage,The Wild,82,tbd,"Oct 13, 2017"
Dan Deacon,Rat Film [Original Motion Picture Soundtrack],61,tbd,"Oct 13, 2017"
King Khan,Murderburgers,77,tbd,"Oct 13, 2017"
Raekwon,The Wild,80,7.6,"Mar 24, 2017"
James Blunt,The Afterlove,54,6.4,"Mar 24, 2017"
Wolf Eyes,Undertow,78,tbd,"Mar 24, 2017"
Boss Hog,Brood X,77,tbd,"Mar 24, 2017"
Tonstartssbandht,Sorcerer,72,tbd,"Mar 24, 2017"
Janka Nabay & the Bubu Gang,Build Music,64,tbd,"Mar 24, 2017"
Joakim,Samurai,69,tbd,"Mar 24, 2017"
Arbouretum,Song of the Rose,79,tbd,"Mar 24, 2017"
Oh Sees,Orc,79,8.1,"Aug 25, 2017"
Turnover,Good Nature,72,8.0,"Aug 25, 2017"
The War on Drugs,A Deeper Understanding,81,8.4,"Aug 25, 2017"
Liars,TFCF,73,6.3,"Aug 25, 2017"
Iron & Wine,Beast Epic,80,7.5,"Aug 25, 2017"
Queens of the Stone Age,Villains,81,7.6,"Aug 25, 2017"
EMA,Exile in the Outer Ring,80,7.9,"Aug 25, 2017"
Lawrence Rothman,The Book of Law,72,tbd,"Oct 13, 2017"
dvsn,Morning After,74,tbd,"Oct 13, 2017"
Woody Guthrie,Woody Guthrie: The Tribute Concerts,84,tbd,"Oct 13, 2017"
Liam Gallagher,As You Were,71,7.9,"Oct  6, 2017"
Kele Okereke,Fatherland,66,5.0,"Oct  6, 2017"
Citizen,As You Please,77,6.8,"Oct  6, 2017"
JD McPherson,Undivided Heart & Soul,77,tbd,"Oct  6, 2017"
Andrew Hung,Realisationship,62,tbd,"Oct  6, 2017"
Benjamin Clementine,I Tell a Fly,80,7.8,"Oct  6, 2017"
Wolf Parade,Cry Cry Cry,82,8.1,"Oct  6, 2017"
Bardo Pond,Under the Pines,77,tbd,"Mar 24, 2017"
GoldLink,At What Cost,71,7.8,"Mar 24, 2017"
Cairo Gang,Untouchable,81,tbd,"Mar 24, 2017"
Teengirl Fantasy,8AM,68,tbd,"Mar 24, 2017"
Sera Cahoone,From Where I Started,81,tbd,"Mar 24, 2017"
Jessi Colter,The Psalms,79,tbd,"Mar 24, 2017"
Nadine Shah,Holiday Destination,81,8.4,"Aug 25, 2017"
Richard Thompson,Acoustic Classics II,78,tbd,"Aug 25, 2017"
Filthy Friends,Invitation,73,tbd,"Aug 25, 2017"
Gordi,Reservoir,69,6.4,"Aug 25, 2017"
Gogol Bordello,Seekers and Finders,71,7.6,"Aug 25, 2017"
Portico Quartet,Art in the Age of Automation,75,tbd,"Aug 25, 2017"
PVRIS,"All We Know of Heaven, All We Need of Hell",86,8.0,"Aug 25, 2017"
Vijay Iyer,Far from Over,86,tbd,"Aug 25, 2017"
Dhani Harrison,IN///PARALLEL,74,tbd,"Oct  6, 2017"
The Weather Station,The Weather Station,85,6.7,"Oct  6, 2017"
Ducktails,Jersey Devil,72,7.2,"Oct  6, 2017"
The Darkness,Pinewood Smile,71,6.4,"Oct  6, 2017"
Whitney Rose,Rule 62,73,tbd,"Oct  6, 2017"
Kaitlyn Aurelia Smith,The Kid,82,7.5,"Oct  6, 2017"
Marilyn Manson,Heaven Upside Down,71,7.8,"Oct  6, 2017"
Yumi Zouma,Willowbank,76,7.7,"Oct  6, 2017"
Carla Bruni,French Touch,62,0.8,"Oct  6, 2017"
Kelela,Take Me Apart,84,8.2,"Oct  6, 2017"
August Burns Red,Phantom Anthem,82,6.8,"Oct  6, 2017"
The Black Dahlia Murder,Nightbringers,85,9.0,"Oct  6, 2017"
Drake,More Life [Mixtape],79,6.9,"Mar 18, 2017"
Sorority Noise,You're Not As _____ As You Think,81,7.8,"Mar 17, 2017"
Depeche Mode,Spirit,74,7.6,"Mar 17, 2017"
Adult.,Detroit House Guests,65,tbd,"Mar 17, 2017"
Spoon,Hot Thoughts,82,7.9,"Mar 17, 2017"
Conor Oberst,Salutations,81,7.8,"Mar 17, 2017"
Real Estate,In Mind,76,7.4,"Mar 17, 2017"
Pulled Apart by Horses,The Haze,78,tbd,"Mar 17, 2017"
Jarvis Cocker,Room 29,70,7.5,"Mar 17, 2017"
Anohni,Paradise [EP],80,6.7,"Mar 17, 2017"
Chase & Status,Tribe,66,8.0,"Aug 25, 2017"
A$AP Ferg,Still Striving [Mixtape],65,6.9,"Aug 25, 2017"
Hype Williams,Rainbow Edition,61,tbd,"Aug 25, 2017"
Fifth Harmony,Fifth Harmony,64,7.2,"Aug 25, 2017"
Action Bronson,Blue Chips 7000,76,7.6,"Aug 25, 2017"
A$AP Mob,"Cozy Tapes, Vol. 2: Too Cozy",70,5.4,"Aug 25, 2017"
A Giant Dog,Toy,78,tbd,"Aug 25, 2017"
Bodies of Water,Spear in the City,76,tbd,"Aug 25, 2017"
Sean Price,Imperius Rex,87,8.1,"Aug 25, 2017"
Chris Forsyth & the Solar Motel Band,Dreaming in the Non-Dream,85,tbd,"Aug 25, 2017"
MAN DUO,Orbit,68,tbd,"Aug 25, 2017"
Widowspeak,Expect the Best,79,tbd,"Aug 25, 2017"
Blue Hawaii,Tenderness,78,8.0,"Oct  6, 2017"
Cults,Offering,71,6.8,"Oct  6, 2017"
Alex Lahey,I Love You Like a Brother,80,6.9,"Oct  6, 2017"
Zara McFarlane,Arise,87,tbd,"Oct  6, 2017"
Weaves,Wide Open,75,tbd,"Oct  6, 2017"
