artist,album,metascore,userscore,release_date
Slug,HiggledyPiggledy,77,tbd,"Apr 13, 2018"
Juliana Hatfield,Juliana Hatfield Sings Olivia Newton-John,65,tbd,"Apr 13, 2018"
Wreckless Eric,Construction Time & Demolition,84,tbd,"Apr  6, 2018"
The Wonder Years,Sister Cities,81,8.3,"Apr  6, 2018"
Kylie Minogue,Golden,63,8.5,"Apr  6, 2018"
Daniel Avery,Song for Alpha,84,6.9,"Apr  6, 2018"
Goat Girl,Goat Girl,80,8.6,"Apr  6, 2018"
Eels,The Deconstruction,72,6.4,"Apr  6, 2018"
Unknown Mortal Orchestra,Sex & Food,75,8.3,"Apr  6, 2018"
Hinds,I Don't Run,77,8.1,"Apr  6, 2018"
Wye Oak,"The Louder I Call, The Faster It Runs",81,7.6,"Apr  6, 2018"
Tom Misch,Geography,73,8.7,"Apr  6, 2018"
Various Artists,Johnny Cash: Forever Words,75,tbd,"Apr  6, 2018"
Hop Along,"Bark Your Head Off, Dog",82,8.1,"Apr  6, 2018"
Sarah Shook & the Disarmers,Years,82,tbd,"Apr  6, 2018"
Kali Uchis,Isolation,88,9.2,"Apr  6, 2018"
Various Artists,Restoration: Reimagining the Songs of Elton John and Bernie Taupin,86,tbd,"Apr  6, 2018"
Various Artists,Revamp: Reimagining the Songs of Elton John and Bernie Taupin ,58,4.6,"Apr  6, 2018"
Dr. Octagon,Moosebumps: An Exploration Into Modern Day Horripilation,78,tbd,"Apr  6, 2018"
Cardi B,Invasion of Privacy,84,7.0,"Apr  6, 2018"
Sloan,12,73,tbd,"Apr  6, 2018"
Makeness,Loud Patterns,75,tbd,"Apr  6, 2018"
Lil Xan,Total Xanarchy,49,3.6,"Apr  6, 2018"
Blackberry Smoke,Find a Light,72,tbd,"Apr  6, 2018"
Mind Over Mirrors,Bellowing Sun,84,tbd,"Apr  6, 2018"
Project Pablo,There's Always More at the Store [EP],73,tbd,"Apr  6, 2018"
Thirty Seconds to Mars,America,47,4.4,"Apr  6, 2018"
Christina Vantzou,No. 4,74,tbd,"Apr  6, 2018"
Saba,Care For Me,92,8.4,"Apr  5, 2018"
The Weeknd,"My Dear Melancholy, [EP]",65,7.8,"Mar 30, 2018"
Cath and Phil Tyler,The Ox And The Ax,81,tbd,"Mar 30, 2018"
Kate Nash,Yesterday Was Forever,62,8.1,"Mar 30, 2018"
Chris Carter,Chemistry Lessons Volume 1,81,tbd,"Mar 30, 2018"
Trembling Bells,Dungeness,80,tbd,"Mar 30, 2018"
The Vaccines,Combat Sports,77,8.5,"Mar 30, 2018"
Ben Harper,No Mercy in This Land,70,tbd,"Mar 30, 2018"
Frankie Cosmos,Vessel,80,7.3,"Mar 30, 2018"
Sons of Kemet,Your Queen Is A Reptile,81,tbd,"Mar 30, 2018"
Kacey Musgraves,Golden Hour,90,8.8,"Mar 30, 2018"
Orquesta Akokan,Orquesta Akokan,92,8.7,"Mar 30, 2018"
The Voidz,Virtue,68,8.5,"Mar 30, 2018"
Amen Dunes,Freedom,86,8.1,"Mar 30, 2018"
Czarface/MF Doom,Czarface Meets Metal Face,72,8.3,"Mar 30, 2018"
Bettye LaVette,Things Have Changed,83,tbd,"Mar 30, 2018"
Ashley McBryde,Girl Going Nowhere,85,tbd,"Mar 30, 2018"
Lindi Ortega,Liberty,77,tbd,"Mar 30, 2018"
Hayley Kiyoko,Expectations,68,8.4,"Mar 30, 2018"
Daphne & Celeste,Daphne & Celeste Save the World,84,tbd,"Mar 30, 2018"
Cabbage,Nihilistic Glamour Shots,74,tbd,"Mar 30, 2018"
Holy Wave,Adult Fear,72,tbd,"Mar 30, 2018"
Jeff Rosenstock,POST-,88,7.9,"Mar 23, 2018"
Jack White,Boarding House Reach,74,7.2,"Mar 23, 2018"
Guided by Voices,Space Gun,77,tbd,"Mar 23, 2018"
Sunflower Bean,Twentytwo in Blue,78,7.5,"Mar 23, 2018"
Cavern of Anti-Matter,Hormone Lemonade,76,tbd,"Mar 23, 2018"
Courtney Marie Andrews,May Your Kindness Remain,79,tbd,"Mar 23, 2018"
Preoccupations,New Material,72,7.8,"Mar 23, 2018"
Bonny Doon,Longwave,68,tbd,"Mar 23, 2018"
George Ezra,Staying at Tamara's,65,8.2,"Mar 23, 2018"
Baloji,137 Avenue Kaniama,81,tbd,"Mar 23, 2018"
The Sword,Used Future,66,tbd,"Mar 23, 2018"
Lissie,Castles,65,7.8,"Mar 23, 2018"
Toni Braxton,Sex & Cigarettes,73,8.4,"Mar 23, 2018"
Holger Czukay,Cinema [Box Set],93,tbd,"Mar 23, 2018"
Miles Davis,"The Final Tour: The Bootleg Series, Vol. 6 [Box Set]",88,tbd,"Mar 23, 2018"
Entourage,Ceremony of Dreams: Studio Sessions and Outtakes 1972-1977 [Box Set],87,tbd,"Mar 23, 2018"
Alasdair Roberts,What News,88,tbd,"Mar 23, 2018"
The Messthetics,The Messthetics,74,tbd,"Mar 23, 2018"
Dead Meadow,The Nothing They Need,74,tbd,"Mar 16, 2018"
The Magic Gang,The Magic Gang,71,tbd,"Mar 16, 2018"
Creep Show,Mr. Dynamite,75,tbd,"Mar 16, 2018"
The Decemberists,I'll Be Your Girl,69,6.3,"Mar 16, 2018"
Yo La Tengo,There's a Riot Going On,77,7.6,"Mar 16, 2018"
Dungen,Myths 003,73,tbd,"Mar 16, 2018"
Hot Snakes,Jericho Sirens,86,8.5,"Mar 16, 2018"
Essaie Pas,New Path,80,tbd,"Mar 16, 2018"
Mount Eerie,Now Only,82,8.2,"Mar 16, 2018"
Stone Temple Pilots,Stone Temple Pilots [2018],60,7.7,"Mar 16, 2018"
Meshell Ndegeocello,Ventriloquism,80,tbd,"Mar 16, 2018"
The Fratellis,In Your Own Sweet Time,65,8.3,"Mar 16, 2018"
Snoop Dogg,Snoop Dogg Presents Bible of Love,54,4.2,"Mar 16, 2018"
Black Foxxes,Reioi,86,tbd,"Mar 16, 2018"
Will Long,Long Trax 2,74,tbd,"Mar 16, 2018"
Caroline Says,No Fool Like an Old Fool,73,tbd,"Mar 16, 2018"
PRhyme,PRhyme 2,74,7.4,"Mar 16, 2018"
Thundercat,Drank,70,tbd,"Mar 16, 2018"
Alva Noto,Unieqav,72,tbd,"Mar 16, 2018"
Garden City Movement,Apollonia,70,tbd,"Mar 16, 2018"
Lil Yachty,Lil Boat 2,53,4.6,"Mar  9, 2018"
David Byrne,American Utopia,71,6.2,"Mar  9, 2018"
Of Montreal,White Is Relic/Irrealis Mood,69,7.9,"Mar  9, 2018"
Ministry,AmeriKKKant,63,5.0,"Mar  9, 2018"
Between the Buried and Me,Automata I,70,8.3,"Mar  9, 2018"
Young Fathers,Cocoa Sugar,87,8.8,"Mar  9, 2018"
George FitzGerald,All That Must Be,72,8.3,"Mar  9, 2018"
Nathaniel Rateliff & the Night Sweats,Tearing at the Seams,78,tbd,"Mar  9, 2018"
Nap Eyes,I'm Bad Now,77,6.3,"Mar  9, 2018"
Judas Priest,Firepower,77,8.6,"Mar  9, 2018"
Editors,Violence,72,7.0,"Mar  9, 2018"
Jimi Hendrix,Both Sides of the Sky,66,7.7,"Mar  9, 2018"
"Albert Hammond, Jr.",Francis Trouble,73,8.5,"Mar  9, 2018"
Gengahr,Where Wilderness Grows,62,tbd,"Mar  9, 2018"
August Greene,August Greene,72,tbd,"Mar  9, 2018"
Moose Blood,I Don't Think I Can Do This Anymore,65,tbd,"Mar  9, 2018"
Eric Chenaux,Slowly Paradise,81,tbd,"Mar  9, 2018"
Erasure,World Beyond,60,tbd,"Mar  9, 2018"
Oneida,Romance,80,tbd,"Mar  9, 2018"
The Neighbourhood,The Neighbourhood,62,6.6,"Mar  9, 2018"
Haley Heynderickx,I Need To Start a Garden,80,tbd,"Mar  9, 2018"
Park Jiha,Communion,78,tbd,"Mar  9, 2018"
Ty,A Work Of Heart,68,tbd,"Mar  2, 2018"
Richard Youngs,Belief,84,tbd,"Mar  2, 2018"
Moby,"Everything Was Beautiful, And Nothing Hurt",75,6.6,"Mar  2, 2018"
Moaning,Moaning,68,6.0,"Mar  2, 2018"
Superorganism,Superorganism,73,8.1,"Mar  2, 2018"
Buffalo Tom,Quiet and Peace,76,tbd,"Mar  2, 2018"
Gwenno,Le Kov,81,8.3,"Mar  2, 2018"
Titus Andronicus,A Productive Cough,68,5.5,"Mar  2, 2018"
Soccer Mommy,Clean,78,8.5,"Mar  2, 2018"
Anna von Hausswolff,Dead Magic,81,8.4,"Mar  2, 2018"
Jonathan Wilson,Rare Birds,74,8.5,"Mar  2, 2018"
Andrew W.K.,You're Not Alone,77,7.9,"Mar  2, 2018"
The Breeders,All Nerve,83,7.1,"Mar  2, 2018"
Tracey Thorn,Record,77,6.2,"Mar  2, 2018"
Lucy Dacus,Historian,82,7.9,"Mar  2, 2018"
Suuns,Felt,70,7.3,"Mar  2, 2018"
The Men,Drift,63,6.8,"Mar  2, 2018"
Joan Baez,Whistle Down the Wind,77,tbd,"Mar  2, 2018"
Camp Cope,How to Socialise & Make Friends,82,7.8,"Mar  2, 2018"
Rolo Tomassi,Time Will Die and Love Will Bury It,92,7.3,"Mar  2, 2018"
Seun Kuti & Egypt 80,Black Times,82,tbd,"Mar  2, 2018"
Tory Lanez,MEMORIES DON'T DIE,46,5.1,"Mar  2, 2018"
DJ Taye,Still Trippin',80,tbd,"Mar  2, 2018"
Ed Schrader's Music Beat,Riddles,77,tbd,"Mar  2, 2018"
E Ruscha V,Who Are You,75,tbd,"Mar  2, 2018"
Turnstile,Time & Space,81,8.0,"Feb 23, 2018"
Femi Kuti,One People One World,71,tbd,"Feb 23, 2018"
Bert Jansch,"A Man I'd Rather Be, (Part 1) [Box Set]",90,tbd,"Feb 23, 2018"
Grant-Lee Phillips,Widdershins,78,tbd,"Feb 23, 2018"
Hailu Mergia,Lala Belu,80,tbd,"Feb 23, 2018"
The Lovely Eggs,This Is Eggland,72,tbd,"Feb 23, 2018"
Public Access T.V.,Street Safari,83,8.1,"Feb 23, 2018"
Insecure Men,Insecure Men,76,tbd,"Feb 23, 2018"
Screaming Females,All at Once,86,7.7,"Feb 23, 2018"
Dedekind Cut,Tahoe,75,tbd,"Feb 23, 2018"
S. Carey,Hundred Acres,68,6.6,"Feb 23, 2018"
The Low Anthem,The Salt Doll Went to Measure the Depth of the Sea,78,tbd,"Feb 23, 2018"
Bert Jansch,"A Man I'd Rather Be, (Part 2) [Box Set]",85,tbd,"Feb 23, 2018"
Sarah Blasko,Depth of Field,84,7.8,"Feb 23, 2018"
Frigs,Basic Behaviour,77,tbd,"Feb 23, 2018"
Go-Kart Mozart,Mozart's Mini-Mart,83,tbd,"Feb 23, 2018"
Mint Field,Pasar de las Luces,84,7.8,"Feb 23, 2018"
Olden Yolk,Olden Yolk,77,tbd,"Feb 23, 2018"
Lo Moon,Lo Moon,73,8.0,"Feb 23, 2018"
Black Milk,Fever,80,8.0,"Feb 23, 2018"
Keiji Haino,"American Dollar Bill - Keep Facing Sideways, You're Too Hideous To Look at Face On",81,tbd,"Feb 23, 2018"
Lionlimb,Tape Recorder,72,tbd,"Feb 23, 2018"
Darlingside,Extralife,81,tbd,"Feb 23, 2018"
Holly Miranda,Mutual Horse,77,tbd,"Feb 23, 2018"
Imarhan,Temet,77,tbd,"Feb 23, 2018"
Nathan Fake,Sunder [EP],83,tbd,"Feb 23, 2018"
The Skull Defekts,The Skull Defekts,76,tbd,"Feb 23, 2018"
Caroline Rose,Loner,84,7.6,"Feb 23, 2018"
A.A.L. (Against All Logic),2012-2017,81,8.6,"Feb 17, 2018"
The Rolling Stones,Blue and Lonesome,82,7.4,"Dec  2, 2016"
Peter Doherty,Hamburg Demonstrations,67,8.3,"Dec  2, 2016"
John Legend,Darkness and Light,76,6.6,"Dec  2, 2016"
Childish Gambino,"""Awaken, My Love!""",77,8.4,"Dec  2, 2016"
Various Artists,The Hamilton Mixtape,77,5.7,"Dec  2, 2016"
Deadmau5,W:/2016ALBUM/,63,6.4,"Dec  2, 2016"
Angelina,Vagabond Saint,84,tbd,"Dec  2, 2016"
The Trouble with Templeton,"Someday, Buddy",63,tbd,"Dec  2, 2016"
Demdike Stare,Wonderland,81,tbd,"Dec  2, 2016"
Smoke DZA,Don't Smoke Rock,81,7.0,"Dec  2, 2016"
Public Service Broadcasting,Live at Brixton,82,tbd,"Dec  2, 2016"
Burial,Young Death/Nightmarket [EP],72,7.1,"Nov 30, 2016"
Rumer,This Girl's in Love (A Bacharach & David Songbook),71,tbd,"Nov 25, 2016"
Gillian Welch,Boots No 1: The Official Revival Bootleg,79,tbd,"Nov 25, 2016"
Elephant Stone,Ship of Fools,66,tbd,"Nov 25, 2016"
The Weeknd,Starboy,67,7.8,"Nov 25, 2016"
Garth Brooks,Gunslinger,65,tbd,"Nov 25, 2016"
Busted,Night Driver,70,8.2,"Nov 25, 2016"
Mica Levi,Remain Calm,76,tbd,"Nov 25, 2016"
Howe Gelb,Future Standards,72,tbd,"Nov 25, 2016"
Immersion,Analogue Creatures Living on an Island,70,tbd,"Nov 25, 2016"
Jay Daniel,Broken Knowz,80,tbd,"Nov 25, 2016"
Letherette,Last Night on the Planet,69,tbd,"Nov 25, 2016"
His Name Is Alive,Patterns of Light,79,tbd,"Nov 25, 2016"
Various Artists,Pop Ambient 2017,76,tbd,"Nov 25, 2016"
Various Artists,PC Music Volume 2,79,6.8,"Nov 18, 2016"
Metallica,Hardwired...To Self-Destruct,73,7.9,"Nov 18, 2016"
Justice,Woman,69,7.4,"Nov 18, 2016"
Tasseomancy,Do Easy,72,tbd,"Nov 18, 2016"
Miranda Lambert,The Weight of These Wings,81,7.5,"Nov 18, 2016"
Thee Oh Sees,An Odd Entrances,70,7.7,"Nov 18, 2016"
R.E.M.,Out of Time [25th Anniversary Edition],80,8.0,"Nov 18, 2016"
Bruno Mars,24K Magic,70,6.3,"Nov 18, 2016"
DIANA,Familiar Touch,74,tbd,"Nov 18, 2016"
Dawn Richard,Redemption,77,8.3,"Nov 18, 2016"
Harvey Mandel,Snake Pit,80,tbd,"Nov 18, 2016"
Highly Suspect,The Boy Who Died Wolf,64,7.7,"Nov 18, 2016"
DNCE,DNCE,77,6.2,"Nov 18, 2016"
The Wave Pictures,Bamboo Diner in the Rain,78,tbd,"Nov 18, 2016"
Alex Izenberg,Harlequin,63,tbd,"Nov 18, 2016"
Soundgarden,Badmotorfinger [25th Anniversary Deluxe Edition],86,tbd,"Nov 18, 2016"
The Human League,A Very British Synthesizer Group: The Anthology [Deluxe Edition],82,tbd,"Nov 18, 2016"
Jethro Tull,Stand Up: The Elevated Edition [Box Set],85,tbd,"Nov 18, 2016"
Simian Mobile Disco,Welcome To Sideways,73,7.5,"Nov 11, 2016"
Sleigh Bells,Jessica Rabbit,72,8.4,"Nov 11, 2016"
Sting,57th & 9th,67,6.4,"Nov 11, 2016"
Simple Minds,Simple Minds Acoustic,59,tbd,"Nov 11, 2016"
Sad13,Slugger,79,6.8,"Nov 11, 2016"
Loscil,Monument Builders,77,tbd,"Nov 11, 2016"
Pavo Pavo,Young Narrator in the Breakers,71,tbd,"Nov 11, 2016"
Papa M,Highway Songs,72,tbd,"Nov 11, 2016"
Kristin Hersh,Wyatt at the Coyote Palace,80,tbd,"Nov 11, 2016"
Romare,"Love Songs, Pt. 2",82,5.0,"Nov 11, 2016"
Frankie Miller,Double Take,75,tbd,"Nov 11, 2016"
Martha Wainwright,Goodnight City,76,tbd,"Nov 11, 2016"
A Tribe Called Quest,We Got It From Here...Thank You 4 Your Service,91,8.9,"Nov 11, 2016"
Body/Head,No Waves,70,tbd,"Nov 11, 2016"
The Men,Devil Music,71,tbd,"Nov 11, 2016"
E,E,77,tbd,"Nov 11, 2016"
Wolf People,Ruins,78,tbd,"Nov 11, 2016"
Cory Hanson,The Unborn Capitalist From Limbo,81,tbd,"Nov 11, 2016"
Illum Sphere,Glass,75,tbd,"Nov 11, 2016"
Jacuzzi Boys,Ping Pong,63,tbd,"Nov 11, 2016"
Animals as Leaders,The Madness of Many,72,tbd,"Nov 11, 2016"
Daniel Bachman,Daniel Bachman,82,tbd,"Nov 11, 2016"
Radian,On Dark Silent Off,77,tbd,"Nov 11, 2016"
Yussef Kamaal,Black Focus,82,tbd,"Nov 11, 2016"
Vanishing Life,Surveillance,70,tbd,"Nov 11, 2016"
Daniel Avery,DJ-Kicks,77,tbd,"Nov 11, 2016"
Tiger & Woods,On the Green Again,77,tbd,"Nov 11, 2016"
Nouvelle Vague,I Could Be Happy,69,tbd,"Nov 11, 2016"
You Blew It!,Abendrot,80,tbd,"Nov 11, 2016"
Pink Floyd,The Early Years 1967-1972 [Box Set],97,7.9,"Nov 11, 2016"
Virginia Wing,Forward Constant Motion,84,tbd,"Nov 11, 2016"
Bob Dylan,The 1966 Live Recordings [Box Set],93,tbd,"Nov 11, 2016"
Luke Temple,A Hand Through the Cellar Door,83,tbd,"Nov 11, 2016"
The Wharves,Electa,72,tbd,"Nov 11, 2016"
Oneida/Rhys Chatham,What's Your Sign,83,tbd,"Nov 11, 2016"
David Bazan,Dark Sacred Night,69,tbd,"Nov 11, 2016"
Major Stars,Motion Set,67,tbd,"Nov 11, 2016"
The Silence,"Nine Suns, One Morning",77,tbd,"Nov 11, 2016"
French Montana,MC4 [Mixtape],67,6.1,"Nov  5, 2016"
Lambchop,FLOTUS,83,8.1,"Nov  4, 2016"
Bon Jovi,This House Is Not for Sale,59,6.7,"Nov  4, 2016"
Shirley Collins,Lodestar,82,4.8,"Nov  4, 2016"
American Wrestlers,Goodbye Terrible Youth,78,tbd,"Nov  4, 2016"
Robbie Williams,Heavy Entertainment Show,59,8.3,"Nov  4, 2016"
Jim James,Eternally Even,78,7.8,"Nov  4, 2016"
Hope Sandoval & the Warm Inventions,Until the Hunter,79,8.1,"Nov  4, 2016"
Common,Black America Again,88,7.3,"Nov  4, 2016"
Alicia Keys,Here,76,8.3,"Nov  4, 2016"
Esben and the Witch,Older Terrors,78,tbd,"Nov  4, 2016"
XAM Duo,XAM Duo,80,tbd,"Nov  4, 2016"
Palace,So Long Forever,59,7.8,"Nov  4, 2016"
Ulrich Schnauss,No Further Ahead Than Today,69,tbd,"Nov  4, 2016"
Super Furry Animals,Fuzzy Logic [20th Anniversary Deluxe Edition],89,6.6,"Nov  4, 2016"
Tinashe,Nightride [Mixtape],75,8.0,"Nov  4, 2016"
Jess Williamson,Heart Song,81,tbd,"Nov  4, 2016"
Mother Love Bone,On Earth as It Is: The Complete Works [Box Set],91,tbd,"Nov  4, 2016"
A$AP Mob,"Cozy Tapes, Vol. 1: Friends",78,7.8,"Oct 31, 2016"
Frank Iero and the Patience,Parachutes,86,7.9,"Oct 28, 2016"
Aaron Lee Tasjan,Silver Tears,79,tbd,"Oct 28, 2016"
Alabama 3,Blues,79,tbd,"Oct 28, 2016"
Soft Hair,Soft Hair,68,6.5,"Oct 28, 2016"
TOY,Clear Shot,72,8.3,"Oct 28, 2016"
Empire of the Sun,Two Vines,66,7.8,"Oct 28, 2016"
Steve Hauschildt,Strands,81,tbd,"Oct 28, 2016"
Tove Lo,Lady Wood,74,8.7,"Oct 28, 2016"
Madness,Can't Touch Us Now,71,7.1,"Oct 28, 2016"
The Pop Group,Honeymoon on Mars,64,5.8,"Oct 28, 2016"
Marching Church,Telling It Like It Is,78,tbd,"Oct 28, 2016"
The Brian Jonestown Massacre,Third World Pyramid,73,8.0,"Oct 28, 2016"
Honeyblood,Babes Never Die,76,tbd,"Oct 28, 2016"
FaltyDL,Heaven Is for Quitters,81,tbd,"Oct 28, 2016"
Alejandro Escovedo,Burn Something Beautiful,82,tbd,"Oct 28, 2016"
CRX,New Skin,69,8.0,"Oct 28, 2016"
Testament,Brotherhood of the Snake,79,8.3,"Oct 28, 2016"
Carla dal Forno,You Know What It's Like,79,tbd,"Oct 28, 2016"
Otis Redding,Live at the Whisky a Go Go: The Complete Recordings,94,tbd,"Oct 28, 2016"
The Olympians,The Olympians,69,tbd,"Oct 28, 2016"
Jeezy,Trap or Die 3,70,6.3,"Oct 28, 2016"
Kyle Dixon,"Stranger Things, Vol. 2 [Original Television Series Soundtrack]",78,7.4,"Oct 28, 2016"
Helmet,Dead to the World,71,tbd,"Oct 28, 2016"
Daniel Woolhouse,What's That Sound,81,tbd,"Oct 28, 2016"
David Holmes,Late Night Tales,99,4.0,"Oct 28, 2016"
Avenged Sevenfold,The Stage,74,8.9,"Oct 28, 2016"
Oren Ambarchi,Hubris,83,tbd,"Oct 28, 2016"
The Notwist,"Superheroes, Ghostvillains & Stuff [Live]",76,tbd,"Oct 28, 2016"
The Hidden Cameras,Home on Native Land,82,tbd,"Oct 28, 2016"
Michael Mayer,And,76,tbd,"Oct 28, 2016"
Brandt Brauer Frick,Joy,61,tbd,"Oct 28, 2016"
Gas,Box,93,7.7,"Oct 28, 2016"
Public Image Ltd.,Metal Box [Super Deluxe Edition],99,4.2,"Oct 28, 2016"
Cerrone,Red Lips,55,tbd,"Oct 28, 2016"
She & Him,Christmas Party,68,tbd,"Oct 28, 2016"
Sam Roberts Band,TerraForm,71,tbd,"Oct 28, 2016"
Kacey Musgraves,Very Kacey Christmas,82,8.5,"Oct 28, 2016"
Korn,The Serenity of Suffering,67,8.0,"Oct 21, 2016"
Leonard Cohen,You Want It Darker,92,8.3,"Oct 21, 2016"
The Radio Dept.,Running out of Love,82,7.6,"Oct 21, 2016"
Lady Gaga,Joanne,67,8.0,"Oct 21, 2016"
Weyes Blood,Front Row Seat to Earth,82,7.5,"Oct 21, 2016"
American Football,American Football (LP2),78,7.4,"Oct 21, 2016"
Agnes Obel,Citizen of Glass,82,8.3,"Oct 21, 2016"
Pretenders,Alone,77,7.2,"Oct 21, 2016"
NxWorries,Yes Lawd!,80,8.3,"Oct 21, 2016"
David Crosby,Lighthouse,77,tbd,"Oct 21, 2016"
Syd Arthur,Apricity,80,6.8,"Oct 21, 2016"
Hooton Tennis Club,Big Box of Chocolates,74,7.6,"Oct 21, 2016"
Joan as Police Woman,Let It Be You,65,tbd,"Oct 21, 2016"
Jimmy Eat World,Integrity Blues,76,7.6,"Oct 21, 2016"
John K. Samson,Winter Wheat,85,8.3,"Oct 21, 2016"
Tanya Tagaq,Retribution,80,7.4,"Oct 21, 2016"
Various Artists,Lazarus [Original Cast Recording],76,tbd,"Oct 21, 2016"
Savoy Motel,Savoy Motel,71,tbd,"Oct 21, 2016"
Archive,The False Foundation,65,5.7,"Oct 21, 2016"
Crocodiles,Dreamless,72,tbd,"Oct 21, 2016"
The Courteeners,Mapping the Rendezvous,69,tbd,"Oct 21, 2016"
Nico Muhly,Confessions,71,tbd,"Oct 21, 2016"
D.R.A.M.,Big Baby D.R.A.M.,80,7.7,"Oct 21, 2016"
Kero Kero Bonito,Bonito Generation,80,8.5,"Oct 21, 2016"
Donny McCaslin,Beyond Now,80,tbd,"Oct 21, 2016"
The Dean Ween Group,The Deaner Album,74,tbd,"Oct 21, 2016"
Tim Buckley,"Lady, Give Me Your Key: The Unissued 1967 Solo Acoustic Sessions",71,tbd,"Oct 21, 2016"
Dr. John,The Musical Mojo of Dr. John: Celebrating Mac & His Music [Live],81,tbd,"Oct 21, 2016"
Scuba,Fabric 90,78,tbd,"Oct 21, 2016"
Miles Davis,"Miles Davis Quintet: Freedom Jazz Dance: The Bootleg Series, Vol. 5",76,tbd,"Oct 21, 2016"
St. Lenox,Ten Hymns from My American Gothic,85,tbd,"Oct 21, 2016"
Oasis,Be Here Now [Deluxe Edition - Remastered],57,7.0,"Oct 14, 2016"
Gucci Mane,Woptober,69,7.4,"Oct 14, 2016"
Wrangler,White Glue,68,tbd,"Oct 14, 2016"
Conor Oberst,Ruminations,76,8.3,"Oct 14, 2016"
D.D. Dumbo,Utopia Defeated,80,7.8,"Oct 14, 2016"
C Duncan,The Midnight Sun,81,7.6,"Oct 14, 2016"
The Dillinger Escape Plan,Dissociation,86,8.1,"Oct 14, 2016"
The Early Years,II,86,tbd,"Oct 14, 2016"
Kings of Leon,Walls,62,6.5,"Oct 14, 2016"
Lemon Twigs,Do Hollywood,76,7.8,"Oct 14, 2016"
Two Door Cinema Club,Gameshow,67,7.0,"Oct 14, 2016"
Powell,Sport,72,7.5,"Oct 14, 2016"
Jagwar Ma,Every Now & Then,72,7.4,"Oct 14, 2016"
Swet Shop Boys,Cashmere,80,8.2,"Oct 14, 2016"
Blackberry Smoke,Like an Arrow,76,tbd,"Oct 14, 2016"
Hi:Emotions,NOTU_URONLINEU,82,tbd,"Oct 14, 2016"
The Orb,"COW / Chill Out, World!",78,tbd,"Oct 14, 2016"
Jamie Lidell,Building a Beginning,72,tbd,"Oct 14, 2016"
Oozing Wound,Whatever Forever,75,tbd,"Oct 14, 2016"
Dusky,Outer,65,tbd,"Oct 14, 2016"
Katie Gately,Color,78,8.1,"Oct 14, 2016"
Black Marble,It's Immaterial,72,8.0,"Oct 14, 2016"
Moby & the Void Pacific Choir,These Systems Are Failing,61,8.6,"Oct 14, 2016"
Purling Hiss,High Bias,72,tbd,"Oct 14, 2016"
Red Fang,Only Ghosts,66,tbd,"Oct 14, 2016"
Mono,Requiem for Hell,62,tbd,"Oct 14, 2016"
Josienne Clarke & Ben Walker,Overnight,75,tbd,"Oct 14, 2016"
Trophy Eyes,Chemical Miracle,87,8.3,"Oct 14, 2016"
Bitchin Bajas,Bajas Fresh,77,tbd,"Nov 17, 2017"
Karine Polwart,A Pocket of Wind Resistance,84,tbd,"Nov 17, 2017"
Sia,Everyday Is Christmas,59,7.6,"Nov 17, 2017"
Charles Hayward,Improvisations,65,tbd,"Nov 17, 2017"
